<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FGSN.US,D,20250123,000000,24.89,24.94,24.76,24.89,1016014,0
FGSN.US,D,20250124,000000,24.8899,25.04,24.88,24.97,437683,0
FGSN.US,D,20250127,000000,24.93,25.05,24.92,25.02,237455,0
FGSN.US,D,20250128,000000,24.97,25.03,24.87,24.92,129168,0
FGSN.US,D,20250129,000000,24.95,24.99,24.83,24.87,1066331,0
FGSN.US,D,20250130,000000,24.89,24.95,24.71,24.8,469494,0
FGSN.US,D,20250131,000000,24.8,25,24.735,24.95,2358781,0
FGSN.US,D,20250203,000000,24.87,24.87,24.79,24.84,89964,0
FGSN.US,D,20250204,000000,24.87,24.905,24.83,24.88,54703,0
FGSN.US,D,20250205,000000,24.91,24.99,24.87,24.93,61023,0
FGSN.US,D,20250206,000000,25,25,24.92,24.92,33770,0
FGSN.US,D,20250207,000000,24.97,24.97,24.78,24.9,60491,0
FGSN.US,D,20250210,000000,24.865,24.89,24.79,24.79,59396,0
FGSN.US,D,20250211,000000,24.79,24.88,24.66,24.69,41379,0
