<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FHDG.US,D,20241119,000000,30.5793,30.59,30.5669,30.5669,3758,0
FHDG.US,D,20241120,000000,30.49,30.558,30.49,30.558,800,0
FHDG.US,D,20241122,000000,30.67,30.7,30.67,30.6732,1087,0
FHDG.US,D,20241125,000000,30.7899,30.7899,30.745,30.745,3891,0
FHDG.US,D,20241126,000000,30.8017,30.815,30.8017,30.815,325,0
FHDG.US,D,20241127,000000,30.7852,30.82,30.785,30.785,993,0
FHDG.US,D,20241129,000000,30.87,30.8899,30.87,30.8793,8574,0
FHDG.US,D,20241202,000000,30.92,30.92,30.895,30.895,7413,0
FHDG.US,D,20241203,000000,30.92,30.92,30.905,30.905,732,0
FHDG.US,D,20241204,000000,31,31,31,31,209,0
FHDG.US,D,20241206,000000,31.035,31.04,30.9826,30.9826,556,0
FHDG.US,D,20241213,000000,30.95,31,30.92,30.955,4365,0
FHDG.US,D,20241216,000000,31.0144,31.055,30.995,30.995,845,0
FHDG.US,D,20241217,000000,30.985,30.985,30.9621,30.9621,2854,0
FHDG.US,D,20241218,000000,30.9942,30.9942,30.6013,30.6013,89546,0
FHDG.US,D,20241220,000000,30.77,30.77,30.7134,30.7134,200,0
FHDG.US,D,20241223,000000,30.8,30.89,30.8,30.89,1803,0
FHDG.US,D,20241230,000000,30.65,30.805,30.65,30.76,6965,0
FHDG.US,D,20241231,000000,30.76,30.76,30.6859,30.6859,534,0
FHDG.US,D,20250102,000000,30.75,30.75,30.6665,30.6665,1313,0
FHDG.US,D,20250103,000000,30.88,30.9,30.8396,30.8396,912,0
FHDG.US,D,20250106,000000,30.97,30.97,30.9238,30.9238,100,0
FHDG.US,D,20250107,000000,30.86,30.86,30.7748,30.7748,100,0
FHDG.US,D,20250108,000000,30.71,30.7996,30.71,30.7996,108,0
