<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FINT.US,D,20241226,000000,25.191,25.29,25.191,25.26,8142,0
FINT.US,D,20241227,000000,25.1954,25.23,25.13,25.1905,42459,0
FINT.US,D,20241230,000000,24.975,25.08,24.9437,25.0405,6539,0
FINT.US,D,20241231,000000,25.11,25.11,24.99,25.0164,1591,0
FINT.US,D,20250102,000000,25.1,25.1,24.98,25.0043,1004,0
FINT.US,D,20250103,000000,25.08,25.14,24.99,25.1153,223651,0
FINT.US,D,20250106,000000,25.32,25.3723,25.2555,25.2555,2835,0
FINT.US,D,20250107,000000,25.26,25.2877,25.18,25.1975,13865,0
FINT.US,D,20250108,000000,25.03,25.1282,25.03,25.1282,1922,0
FINT.US,D,20250110,000000,24.7284,24.77,24.71,24.717,6136,0
