<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FIRI.US,D,20241121,000000,20.27,20.27,20.1901,20.1901,2440,0
FIRI.US,D,20241122,000000,20.31,20.31,20.22,20.22,2159,0
FIRI.US,D,20241125,000000,20.25,20.36,20.2076,20.2076,3972,0
FIRI.US,D,20241126,000000,20.1832,20.1832,20.15,20.15,1980,0
FIRI.US,D,20241127,000000,20.2196,20.2196,20.19,20.19,2094,0
FIRI.US,D,20241202,000000,20.32,20.33,20.13,20.2246,6006,0
FIRI.US,D,20241203,000000,20.23,20.24,20.23,20.24,1971,0
FIRI.US,D,20241204,000000,20.22,20.38,20.22,20.34,3008,0
FIRI.US,D,20241205,000000,20.38,20.38,20.26,20.26,310,0
FIRI.US,D,20241206,000000,20.4,20.4,20.29,20.29,222,0
FIRI.US,D,20241209,000000,20.42,20.42,20.19,20.255,637,0
FIRI.US,D,20241210,000000,20.36,20.36,20.12,20.22,610,0
FIRI.US,D,20241211,000000,20.2765,20.2864,20.18,20.2864,2817,0
FIRI.US,D,20241212,000000,20.2452,20.34,20.14,20.24,6689,0
FIRI.US,D,20241213,000000,20.34,20.34,20.24,20.24,374,0
FIRI.US,D,20241216,000000,20.36,20.36,20.27,20.27,217,0
FIRI.US,D,20241217,000000,20.34,20.36,20.33,20.33,1479,0
FIRI.US,D,20241218,000000,20.36,20.36,20.1356,20.1356,468,0
FIRI.US,D,20241219,000000,20.16,20.16,20.04,20.04,101,0
FIRI.US,D,20241220,000000,20.32,20.32,20.06,20.06,607,0
FIRI.US,D,20241224,000000,20.0038,20.09,20.0038,20.09,241,0
FIRI.US,D,20241226,000000,20.19,20.2,20.09,20.09,208,0
FIRI.US,D,20241227,000000,20.17,20.17,20.04,20.04,146,0
FIRI.US,D,20241231,000000,19.67,19.67,19.517,19.517,6986,0
FIRI.US,D,20250102,000000,19.7,19.7,19.49,19.5962,233,0
FIRI.US,D,20250103,000000,19.77,19.77,19.56,19.6675,379,0
FIRI.US,D,20250106,000000,19.87,19.87,19.67,19.73,205,0
FIRI.US,D,20250107,000000,19.56,19.71,19.56,19.65,363,0
FIRI.US,D,20250108,000000,19.73,19.73,19.61,19.61,106,0
FIRI.US,D,20250110,000000,19.47,19.7,19.46,19.46,3070,0
