<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLCC.US,D,20240801,000000,25.1545,25.1545,25.1545,25.1545,1,0
FLCC.US,D,20240802,000000,24.68,24.7132,24.68,24.7132,250,0
FLCC.US,D,20240806,000000,24.51,24.51,24.3023,24.3023,101,0
FLCC.US,D,20240807,000000,24.76,24.77,24.2134,24.2134,275,0
FLCC.US,D,20240809,000000,24.93,24.93,24.93,24.93,1,0
FLCC.US,D,20240812,000000,24.8747,24.8747,24.8747,24.8747,1,0
FLCC.US,D,20240813,000000,25.2384,25.2384,25.2384,25.2384,1,0
FLCC.US,D,20240814,000000,25.3919,25.3919,25.3919,25.3919,1,0
FLCC.US,D,20240815,000000,25.72,25.7525,25.72,25.7525,3886,0
FLCC.US,D,20240816,000000,25.8237,25.8237,25.8131,25.8131,195,0
FLCC.US,D,20240819,000000,26.0193,26.0193,26.0193,26.0193,1,0
FLCC.US,D,20240820,000000,25.99,25.99,25.9891,25.9891,194,0
FLCC.US,D,20240821,000000,26.121,26.121,26.121,26.121,1,0
FLCC.US,D,20240822,000000,25.9809,25.9809,25.8991,25.8991,4415,0
FLCC.US,D,20240823,000000,26.2525,26.2525,26.2525,26.2525,1,0
FLCC.US,D,20240826,000000,26.2,26.2,26.1856,26.1856,100,0
FLCC.US,D,20240827,000000,26.25,26.25,26.2455,26.2455,1700,0
FLCC.US,D,20240828,000000,26.0894,26.0894,26.0894,26.0894,400,0
FLCC.US,D,20240829,000000,26.1675,26.1675,26.1675,26.1675,30,0
FLCC.US,D,20240830,000000,26.4045,26.4045,26.4045,26.4045,30,0
FLCC.US,D,20240903,000000,25.8222,25.8222,25.8222,25.8222,159,0
FLCC.US,D,20240904,000000,25.7383,25.7383,25.7383,25.7383,53,0
FLCC.US,D,20240905,000000,25.6064,25.6064,25.6064,25.6064,50,0
FLCC.US,D,20240906,000000,25.1664,25.1664,25.1664,25.1664,12,0
FLCC.US,D,20240909,000000,25.3459,25.3459,25.3459,25.3459,12,0
FLCC.US,D,20240910,000000,25.4407,25.4407,25.4407,25.4407,1,0
FLCC.US,D,20240911,000000,25.6786,25.6786,25.6786,25.6786,12,0
FLCC.US,D,20240912,000000,25.9233,25.9233,25.9233,25.9233,12,0
FLCC.US,D,20240913,000000,26.18,26.18,26.1363,26.1363,349,0
FLCC.US,D,20240916,000000,26.2151,26.2151,26.2151,26.2151,116,0
FLCC.US,D,20240917,000000,26.2459,26.2459,26.2459,26.2459,9,0
FLCC.US,D,20240918,000000,26.2418,26.2418,26.2418,26.2418,12,0
FLCC.US,D,20240919,000000,26.7003,26.7003,26.7003,26.7003,9,0
FLCC.US,D,20240920,000000,26.7029,26.7029,26.7029,26.7029,12,0
FLCC.US,D,20240923,000000,26.7284,26.7284,26.7284,26.7284,8,0
FLCC.US,D,20240924,000000,26.7717,26.7717,26.7717,26.7717,12,0
FLCC.US,D,20240925,000000,26.7235,26.7235,26.7235,26.7235,13,0
FLCC.US,D,20240926,000000,26.8313,26.8313,26.8313,26.8313,12,0
FLCC.US,D,20240927,000000,26.8154,26.8154,26.8154,26.8154,11,0
FLCC.US,D,20241001,000000,26.6641,26.6641,26.6641,26.6641,12,0
FLCC.US,D,20241002,000000,26.6841,26.6841,26.6841,26.6841,15,0
FLCC.US,D,20241003,000000,26.663,26.663,26.663,26.663,15,0
FLCC.US,D,20241004,000000,26.9188,26.9188,26.9188,26.9188,15,0
FLCC.US,D,20241007,000000,26.6614,26.6614,26.6614,26.6614,1,0
FLCC.US,D,20241008,000000,26.9126,26.9126,26.9126,26.9126,1,0
FLCC.US,D,20241009,000000,27.1228,27.1228,27.1228,27.1228,15,0
FLCC.US,D,20241010,000000,27.0948,27.0948,27.0948,27.0948,2,0
FLCC.US,D,20241011,000000,27.2704,27.2704,27.2704,27.2704,2,0
FLCC.US,D,20241014,000000,27.4784,27.4784,27.4784,27.4784,1,0
FLCC.US,D,20241015,000000,27.3434,27.3434,27.3434,27.3434,12,0
FLCC.US,D,20241016,000000,27.3909,27.3909,27.3909,27.3909,1,0
FLCC.US,D,20241017,000000,27.4017,27.4017,27.4017,27.4017,2,0
FLCC.US,D,20241018,000000,27.4565,27.48,27.4565,27.4789,1600,0
FLCC.US,D,20241021,000000,27.41,27.4198,27.41,27.4198,300,0
FLCC.US,D,20241022,000000,27.4757,27.4757,27.4757,27.4757,2,0
FLCC.US,D,20241023,000000,27.17,27.2178,27.16,27.2178,1003,0
FLCC.US,D,20241024,000000,27.2839,27.2839,27.2839,27.2839,2,0
FLCC.US,D,20241025,000000,27.2317,27.2317,27.2317,27.2317,301,0
FLCC.US,D,20241028,000000,27.4066,27.4066,27.4066,27.4066,10,0
FLCC.US,D,20241029,000000,27.512,27.512,27.512,27.512,400,0
FLCC.US,D,20241030,000000,27.4653,27.4653,27.4653,27.4653,1,0
FLCC.US,D,20241031,000000,27.1286,27.1801,27.1186,27.1186,4509,0
FLCC.US,D,20241101,000000,27.19,27.2,27.19,27.2,906,0
FLCC.US,D,20241104,000000,27.04,27.0684,27.04,27.0684,874,0
FLCC.US,D,20241105,000000,27.395,27.395,27.395,27.395,17,0
FLCC.US,D,20241106,000000,28.1088,28.1088,28.1088,28.1088,1,0
FLCC.US,D,20241107,000000,28.4777,28.4777,28.4777,28.4777,10,0
FLCC.US,D,20241108,000000,28.6664,28.6664,28.6664,28.6664,2,0
FLCC.US,D,20241111,000000,28.7106,28.74,28.7,28.7169,6937,0
FLCC.US,D,20241112,000000,28.63,28.95,28.596,28.596,22204,0
FLCC.US,D,20241113,000000,28.67,28.67,28.5935,28.5935,900,0
FLCC.US,D,20241114,000000,28.5143,28.58,28.4045,28.4045,1613,0
FLCC.US,D,20241118,000000,28.1471,28.1471,28.1284,28.1284,404,0
FLCC.US,D,20241119,000000,28.28,28.28,28.2748,28.2748,643,0
FLCC.US,D,20241120,000000,28.22,28.3284,28.22,28.3284,561,0
FLCC.US,D,20241121,000000,28.6,28.6016,28.304,28.6016,5561,0
FLCC.US,D,20241126,000000,28.9606,29.07,28.9606,29.0575,1398,0
FLCC.US,D,20241127,000000,29.04,29.0499,28.83,28.8957,13397,0
FLCC.US,D,20241202,000000,29.06,29.12,29.048,29.08,6599,0
FLCC.US,D,20241203,000000,29.05,29.0765,29.05,29.0765,190,0
FLCC.US,D,20241204,000000,29.22,29.35,29.22,29.3439,168132,0
FLCC.US,D,20241205,000000,29.42,29.43,29.3188,29.3188,315,0
FLCC.US,D,20241206,000000,29.28,29.3696,29.27,29.3696,475,0
FLCC.US,D,20241210,000000,29.1,29.14,28.9626,28.9626,10665,0
FLCC.US,D,20241211,000000,29.2217,29.2217,29.1969,29.1969,5036,0
FLCC.US,D,20241212,000000,29.1551,29.24,29.1048,29.1048,3894,0
FLCC.US,D,20241213,000000,28.9153,28.9794,28.9153,28.9794,445,0
FLCC.US,D,20241216,000000,29.1538,29.19,28.93,29.1083,1663,0
FLCC.US,D,20241217,000000,29.03,29.06,28.95,28.9611,12051,0
FLCC.US,D,20241218,000000,28.9315,28.96,28.0913,28.0913,1418,0
FLCC.US,D,20241219,000000,28.11,28.18,28.0876,28.0876,2087,0
FLCC.US,D,20241220,000000,28.0476,28.4138,28.0476,28.4138,363,0
FLCC.US,D,20241223,000000,28.332,28.5807,28.332,28.5807,461,0
FLCC.US,D,20241224,000000,28.62,28.8095,28.6199,28.8095,1342,0
FLCC.US,D,20241226,000000,28.81,28.8188,28.81,28.8188,6471,0
FLCC.US,D,20241230,000000,28.29,28.32,28.2146,28.2146,598,0
FLCC.US,D,20241231,000000,28.04,28.06,28.0027,28.0027,586,0
FLCC.US,D,20250103,000000,28.44,28.4521,28.44,28.4521,200,0
FLCC.US,D,20250107,000000,28.67,28.67,28.371,28.371,263,0
FLCC.US,D,20250108,000000,28.24,28.4098,28.24,28.4098,290,0
FLCC.US,D,20250110,000000,27.97,28.065,27.97,28.03,5940,0
