<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLCE.US,D,20241226,000000,25.68,25.7,25.68,25.6973,9406,0
FLCE.US,D,20241227,000000,25.53,25.53,25.39,25.4265,51464,0
FLCE.US,D,20241230,000000,25.26,25.26,25.1949,25.1949,14804,0
FLCE.US,D,20241231,000000,25.0935,25.0935,25.0708,25.0708,847,0
FLCE.US,D,20250102,000000,24.96,25.0424,24.935,25.0424,9356,0
FLCE.US,D,20250103,000000,25.1704,25.312,25.1704,25.3017,8399,0
FLCE.US,D,20250106,000000,25.56,25.585,25.39,25.4,3064,0
FLCE.US,D,20250107,000000,25.35,25.35,25.15,25.1984,15709,0
FLCE.US,D,20250108,000000,25.15,25.28,25.15,25.2693,3022,0
FLCE.US,D,20250110,000000,24.88,24.96,24.87,24.899,6387,0
