<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLBL.US,D,20240920,000000,20.2894,20.38,20.285,20.3561,1571,0
GLBL.US,D,20240923,000000,20.4,20.43,20.4,20.402,387,0
GLBL.US,D,20240924,000000,20.43,20.4517,20.43,20.4517,219,0
GLBL.US,D,20240927,000000,20.54,20.54,20.5186,20.5186,380,0
GLBL.US,D,20241001,000000,20.3584,20.3584,20.3584,20.3584,79,0
GLBL.US,D,20241002,000000,20.4,20.4,20.3804,20.3804,331,0
GLBL.US,D,20241003,000000,20.3296,20.3296,20.3296,20.3296,79,0
GLBL.US,D,20241004,000000,20.57,20.57,20.5489,20.5489,360,0
GLBL.US,D,20241007,000000,20.3275,20.3275,20.3275,20.3275,39,0
GLBL.US,D,20241008,000000,20.56,20.56,20.5528,20.5528,300,0
GLBL.US,D,20241009,000000,20.7,20.7,20.6808,20.6808,635,0
GLBL.US,D,20241010,000000,20.6611,20.6611,20.6611,20.6611,35,0
GLBL.US,D,20241011,000000,20.79,20.79,20.7723,20.7723,307,0
GLBL.US,D,20241014,000000,20.9254,20.9254,20.9254,20.9254,2,0
GLBL.US,D,20241015,000000,20.6994,20.6994,20.6994,20.6994,2,0
GLBL.US,D,20241016,000000,20.7788,20.7788,20.7788,20.7788,2,0
GLBL.US,D,20241017,000000,20.7743,20.7743,20.7743,20.7743,6,0
GLBL.US,D,20241018,000000,20.878,20.878,20.878,20.878,2,0
GLBL.US,D,20241021,000000,20.8073,20.8073,20.8073,20.8073,2,0
GLBL.US,D,20241022,000000,20.8104,20.8104,20.8104,20.8104,2,0
GLBL.US,D,20241023,000000,20.7095,20.7095,20.563,20.563,2000,0
GLBL.US,D,20241024,000000,20.6234,20.6234,20.6234,20.6234,2,0
GLBL.US,D,20241025,000000,20.6332,20.6332,20.6332,20.6332,28,0
GLBL.US,D,20241028,000000,20.7154,20.7154,20.7154,20.7154,254,0
GLBL.US,D,20241029,000000,20.84,20.84,20.8308,20.8308,1811,0
GLBL.US,D,20241030,000000,20.757,20.757,20.757,20.757,121,0
GLBL.US,D,20241031,000000,20.3591,20.3591,20.3591,20.3591,121,0
GLBL.US,D,20241101,000000,20.54,20.54,20.54,20.54,116,0
GLBL.US,D,20241104,000000,20.4184,20.4184,20.4184,20.4184,3,0
GLBL.US,D,20241105,000000,20.6638,20.6638,20.6638,20.6638,121,0
GLBL.US,D,20241106,000000,21.132,21.132,21.132,21.132,121,0
GLBL.US,D,20241107,000000,21.3201,21.3795,21.3201,21.3795,290,0
GLBL.US,D,20241108,000000,21.3675,21.3675,21.3675,21.3675,2,0
GLBL.US,D,20241115,000000,20.92,20.92,20.9062,20.9062,100,0
GLBL.US,D,20241122,000000,21.25,21.25,21.2319,21.2319,300,0
GLBL.US,D,20241219,000000,21.27,21.27,21.1249,21.1249,100,0
