<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GROZ.US,D,20241209,000000,25.3,25.3,25.2124,25.2124,1020,0
GROZ.US,D,20241210,000000,25.15,25.1818,25.15,25.1818,367,0
GROZ.US,D,20241212,000000,25.62,25.9,25.5243,25.5243,15257,0
GROZ.US,D,20241213,000000,25.7,25.7,25.465,25.5707,4785,0
GROZ.US,D,20241216,000000,25.97,26.14,25.9046,25.9046,1039,0
GROZ.US,D,20241217,000000,25.82,26.2,25.74,25.8177,9957,0
GROZ.US,D,20241218,000000,25.86,26.35,25.0125,25.0125,2129,0
GROZ.US,D,20241219,000000,25.07,25.09,24.9815,24.9815,3744,0
GROZ.US,D,20241220,000000,25.37,25.3898,25.1879,25.1879,1202,0
GROZ.US,D,20241223,000000,25.39,25.48,25.235,25.4739,1245,0
GROZ.US,D,20241224,000000,25.6,25.84,25.6,25.7889,1172,0
GROZ.US,D,20241226,000000,25.81,25.83,25.776,25.7802,2696,0
GROZ.US,D,20241227,000000,25.28,25.3377,25.28,25.3377,915,0
GROZ.US,D,20241230,000000,25.18,25.2299,25.0953,25.0953,317,0
GROZ.US,D,20241231,000000,24.95,24.95,24.7857,24.7857,101838,0
GROZ.US,D,20250102,000000,24.72,25.08,24.575,24.7382,19087,0
GROZ.US,D,20250103,000000,24.95,26.08,24.92,25.1479,31039,0
GROZ.US,D,20250106,000000,25.5557,25.62,25.41,25.4486,17649,0
GROZ.US,D,20250107,000000,25.3,25.3,24.92,24.97,18438,0
GROZ.US,D,20250108,000000,24.98,25.64,24.83,25.0016,5436,0
GROZ.US,D,20250110,000000,24.77,24.78,24.5599,24.6299,8927,0
