<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GRW.US,D,20240508,000000,32.03,32.4,32.02,32.4,37102,0
GRW.US,D,20240509,000000,32.28,32.54,32.19,32.5309,62753,0
GRW.US,D,20240510,000000,32.7004,32.7004,32.54,32.5624,31893,0
GRW.US,D,20240513,000000,32.62,32.62,32.11,32.3349,35855,0
GRW.US,D,20240514,000000,32.12,32.39,32.12,32.3877,37532,0
GRW.US,D,20240515,000000,32.534,32.795,32.49,32.7947,15567,0
GRW.US,D,20240516,000000,32.7405,32.8806,32.7405,32.8532,7668,0
GRW.US,D,20240517,000000,32.81,32.9325,32.81,32.9325,1162,0
GRW.US,D,20240520,000000,32.88,33.09,32.88,33.0371,5112,0
GRW.US,D,20240521,000000,32.77,33.1242,32.77,33.1242,9149,0
GRW.US,D,20240522,000000,33.2,33.3283,33.08,33.1755,13583,0
GRW.US,D,20240523,000000,33.32,33.32,32.9,32.9602,7026,0
GRW.US,D,20240524,000000,33.03,33.419,33.03,33.4,9011,0
GRW.US,D,20240528,000000,33.02,33.05,32.92,32.97,8416,0
GRW.US,D,20240529,000000,32.58,33.0099,32.58,32.8417,11294,0
GRW.US,D,20240530,000000,32.7,32.74,32.52,32.56,7524,0
GRW.US,D,20240531,000000,32.66,32.91,32.41,32.91,24664,0
GRW.US,D,20240603,000000,32.84,32.97,32.63,32.8596,27533,0
GRW.US,D,20240604,000000,32.92,33.04,32.71,33,11057,0
GRW.US,D,20240605,000000,32.84,33.57,32.84,33.52,20627,0
GRW.US,D,20240606,000000,33.51,33.65,33.3301,33.41,3764,0
GRW.US,D,20240607,000000,33.26,33.53,33.26,33.3403,3622,0
GRW.US,D,20240610,000000,33.2,33.56,33.2,33.48,24951,0
GRW.US,D,20240611,000000,33.26,33.43,33.26,33.43,6891,0
GRW.US,D,20240612,000000,33.91,34,33.37,33.9719,18139,0
GRW.US,D,20240613,000000,34.13,34.37,33.96,34.05,7380,0
GRW.US,D,20240614,000000,33.86,34.0742,33.86,34.0631,2718,0
GRW.US,D,20240617,000000,34.11,34.52,34.11,34.4987,5636,0
GRW.US,D,20240618,000000,34.67,34.67,34.52,34.54,9468,0
GRW.US,D,20240620,000000,34.37,34.48,34.24,34.3126,13453,0
GRW.US,D,20240621,000000,34.18,34.28,34.18,34.2722,9919,0
GRW.US,D,20240624,000000,34.49,34.5307,34.29,34.29,15523,0
GRW.US,D,20240625,000000,34.19,34.34,34.19,34.3118,10575,0
GRW.US,D,20240626,000000,34.16,34.22,34.085,34.13,16313,0
GRW.US,D,20240627,000000,34.21,34.31,34.21,34.2804,1270,0
GRW.US,D,20240628,000000,34.23,34.32,34.06,34.09,11274,0
GRW.US,D,20240701,000000,34.09,34.09,33.97,34.05,21980,0
GRW.US,D,20240702,000000,34.07,34.31,34.07,34.28,10956,0
GRW.US,D,20240703,000000,34.45,34.67,34.45,34.64,4371,0
GRW.US,D,20240705,000000,34.8,34.8,34.58,34.6759,2191,0
GRW.US,D,20240708,000000,34.75,34.77,34.73,34.76,6298,0
GRW.US,D,20240709,000000,34.68,34.766,34.68,34.7,6635,0
GRW.US,D,20240710,000000,34.74,34.92,34.71,34.91,20015,0
GRW.US,D,20240711,000000,34.72,34.8219,34.7,34.7906,6241,0
GRW.US,D,20240712,000000,35.01,35.1999,34.98,35.0052,5202,0
GRW.US,D,20240715,000000,35.1978,35.1978,35.0998,35.0998,1083,0
GRW.US,D,20240716,000000,35.15,35.43,35.15,35.43,9404,0
GRW.US,D,20240717,000000,35.15,35.176,35.0645,35.0645,12054,0
GRW.US,D,20240718,000000,35.145,35.18,34.86,34.97,12607,0
GRW.US,D,20240719,000000,34.83,34.9,34.76,34.76,50495,0
GRW.US,D,20240722,000000,34.91,35.3108,34.91,35.2977,67629,0
GRW.US,D,20240723,000000,35.63,35.63,35.46,35.52,13998,0
GRW.US,D,20240724,000000,35.03,35.086,34.8341,34.8341,24238,0
GRW.US,D,20240725,000000,34.89,35.16,34.72,34.73,14319,0
GRW.US,D,20240726,000000,35.058,35.29,35.058,35.26,2813,0
GRW.US,D,20240729,000000,35.09,35.23,35.02,35.23,20272,0
GRW.US,D,20240730,000000,35.45,35.47,34.9,34.95,6122,0
GRW.US,D,20240731,000000,35.33,35.48,35.0401,35.2,6700,0
GRW.US,D,20240801,000000,34.97,34.97,34.5,34.51,3461,0
GRW.US,D,20240802,000000,34.34,34.3559,33.8,33.8,4948,0
GRW.US,D,20240805,000000,33.3301,33.5886,33.175,33.4102,85709,0
GRW.US,D,20240806,000000,33.79,34.18,33.79,33.82,37095,0
GRW.US,D,20240807,000000,34.15,34.3671,33.64,33.64,3535,0
GRW.US,D,20240808,000000,33.88,34.255,33.85,34.2312,6581,0
