<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GUMI.US,D,20240726,000000,50.035,50.035,50.035,50.035,6,0
GUMI.US,D,20240730,000000,50.09,50.09,50.07,50.07,102,0
GUMI.US,D,20240731,000000,50.075,50.075,50.075,50.075,7,0
GUMI.US,D,20240801,000000,50.08,50.11,50.08,50.11,1060,0
GUMI.US,D,20240802,000000,50.11,50.135,50.11,50.135,300,0
GUMI.US,D,20240805,000000,50.13,50.13,50.13,50.13,302,0
GUMI.US,D,20240806,000000,50.1224,50.1224,50.12,50.12,200,0
GUMI.US,D,20240807,000000,50.09,50.09,50.09,50.09,2,0
GUMI.US,D,20240808,000000,50.12,50.12,50.12,50.12,1,0
GUMI.US,D,20240809,000000,50.12,50.12,50.12,50.12,2,0
GUMI.US,D,20240812,000000,50.16,50.16,50.14,50.14,202,0
GUMI.US,D,20240813,000000,50.155,50.155,50.155,50.155,1,0
GUMI.US,D,20240814,000000,50.17,50.17,50.17,50.17,1,0
GUMI.US,D,20240815,000000,50.14,50.14,50.14,50.14,3,0
GUMI.US,D,20240816,000000,50.17,50.17,50.17,50.17,5,0
GUMI.US,D,20240819,000000,50.19,50.2,50.19,50.2,1111,0
GUMI.US,D,20240820,000000,50.23,50.23,50.215,50.215,2161,0
GUMI.US,D,20240821,000000,50.71,50.71,50.23,50.245,2106,0
GUMI.US,D,20240822,000000,50.24,50.245,50.24,50.245,1000,0
GUMI.US,D,20240823,000000,50.25,50.25,50.25,50.25,120,0
GUMI.US,D,20240826,000000,50.27,50.27,50.25,50.25,1376,0
GUMI.US,D,20240827,000000,50.215,50.215,50.215,50.215,20,0
GUMI.US,D,20240828,000000,50.225,50.225,50.225,50.225,19,0
GUMI.US,D,20240829,000000,50.28,50.2801,50.28,50.28,2160,0
GUMI.US,D,20240830,000000,50.29,50.3231,50.27,50.27,2372,0
GUMI.US,D,20240903,000000,50.14,50.14,50.11,50.11,1375,0
GUMI.US,D,20240904,000000,50.14,50.21,50.14,50.165,2475,0
GUMI.US,D,20240905,000000,50.16,50.18,50.16,50.18,375,0
GUMI.US,D,20240906,000000,50.17,50.185,50.17,50.185,380,0
GUMI.US,D,20240909,000000,50.14,50.14,50.14,50.14,1,0
GUMI.US,D,20240910,000000,50.18,50.18,50.18,50.18,1000,0
GUMI.US,D,20240911,000000,50.17,50.17,50.17,50.17,1000,0
GUMI.US,D,20240912,000000,50.17,50.17,50.17,50.17,52,0
GUMI.US,D,20240913,000000,50.185,50.185,50.185,50.185,10,0
GUMI.US,D,20240916,000000,50.17,50.17,50.17,50.17,1,0
GUMI.US,D,20240917,000000,50.16,50.16,50.16,50.16,1000,0
GUMI.US,D,20240918,000000,50.15,50.15,50.15,50.15,1,0
GUMI.US,D,20240919,000000,50.19,50.19,50.18,50.18,2062,0
GUMI.US,D,20240920,000000,50.21,50.23,50.205,50.205,1992,0
GUMI.US,D,20240923,000000,50.21,50.23,50.21,50.23,431,0
GUMI.US,D,20240924,000000,50.21,50.21,50.21,50.21,338,0
GUMI.US,D,20240925,000000,50.195,50.195,50.195,50.195,1,0
GUMI.US,D,20240926,000000,50.21,50.21,50.21,50.21,34,0
GUMI.US,D,20240927,000000,50.23,50.23,50.23,50.23,24,0
GUMI.US,D,20241001,000000,50.105,50.105,50.105,50.105,24,0
GUMI.US,D,20241002,000000,50.105,50.105,50.105,50.105,1,0
GUMI.US,D,20241003,000000,50.17,50.2,50.13,50.13,4361,0
GUMI.US,D,20241004,000000,50.11,50.15,50.11,50.12,3100,0
GUMI.US,D,20241007,000000,50.1,50.1,50.1,50.1,9,0
GUMI.US,D,20241008,000000,50.09,50.105,50.09,50.105,408,0
GUMI.US,D,20241009,000000,50.105,50.105,50.105,50.105,1,0
GUMI.US,D,20241010,000000,50.115,50.115,50.115,50.115,1,0
GUMI.US,D,20241011,000000,50.15,50.175,50.15,50.175,302,0
GUMI.US,D,20241014,000000,50.11,50.11,50.11,50.11,1,0
GUMI.US,D,20241015,000000,50.13,50.13,50.13,50.13,1,0
GUMI.US,D,20241016,000000,50.14,50.14,50.14,50.14,1,0
GUMI.US,D,20241017,000000,50.1311,50.1311,50.12,50.12,233,0
GUMI.US,D,20241018,000000,50.15,50.15,50.15,50.15,1,0
GUMI.US,D,20241021,000000,50.135,50.135,50.135,50.135,8,0
GUMI.US,D,20241022,000000,50.13,50.13,50.13,50.13,88,0
GUMI.US,D,20241023,000000,50.095,50.095,50.095,50.095,152,0
GUMI.US,D,20241024,000000,50.135,50.135,50.135,50.135,6,0
GUMI.US,D,20241025,000000,50.13,50.15,50.13,50.15,106,0
GUMI.US,D,20241028,000000,50.17,50.17,50.17,50.17,110,0
GUMI.US,D,20241029,000000,50.1201,50.145,50.1201,50.145,130,0
GUMI.US,D,20241030,000000,50.19,50.19,50.15,50.15,10000,0
GUMI.US,D,20241031,000000,50.17,50.17,50.17,50.17,2,0
GUMI.US,D,20241104,000000,50.06,50.06,50.06,50.06,20,0
GUMI.US,D,20241105,000000,50.06,50.06,50.06,50.06,22,0
GUMI.US,D,20241106,000000,50.0066,50.0066,50.0066,50.0066,1,0
GUMI.US,D,20241107,000000,50.06,50.06,50.06,50.06,8,0
