<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HAFN.US,D,20240410,000000,7.42,7.45,7.21,7.375,379555,0
HAFN.US,D,20240411,000000,7.54,7.75,7.48,7.55,270951,0
HAFN.US,D,20240412,000000,7.59,7.75,7.5,7.53,344307,0
HAFN.US,D,20240415,000000,7.49,7.6,7.4,7.44,256525,0
HAFN.US,D,20240416,000000,7.48,7.5,7.2947,7.39,105595,0
HAFN.US,D,20240417,000000,7.59,7.64,7.47,7.53,108814,0
HAFN.US,D,20240418,000000,7.45,7.46,7.31,7.31,119610,0
HAFN.US,D,20240419,000000,7.35,7.6499,7.3,7.46,80793,0
HAFN.US,D,20240422,000000,7.33,7.45,7.25,7.44,150826,0
HAFN.US,D,20240423,000000,7.45,7.61,7.41,7.53,171213,0
HAFN.US,D,20240424,000000,7.45,7.59,7.4,7.58,140026,0
HAFN.US,D,20240425,000000,7.42,7.58,7.4,7.55,143988,0
HAFN.US,D,20240426,000000,7.61,7.8,7.57,7.66,211773,0
HAFN.US,D,20240429,000000,7.64,7.72,7.57,7.62,162963,0
HAFN.US,D,20240430,000000,7.66,7.7283,7.6,7.72,107875,0
HAFN.US,D,20240501,000000,7.63,7.71,7.56,7.65,106205,0
HAFN.US,D,20240502,000000,7.67,7.86,7.59,7.8,112810,0
HAFN.US,D,20240503,000000,7.89,7.93,7.8,7.88,92577,0
HAFN.US,D,20240506,000000,7.9,8.04,7.9,8.04,151488,0
HAFN.US,D,20240507,000000,7.85,8,7.78,7.93,153114,0
HAFN.US,D,20240508,000000,7.91,8.22,7.89,8.12,580126,0
HAFN.US,D,20240509,000000,8.19,8.19,8.14,8.17,159828,0
HAFN.US,D,20240510,000000,8.29,8.41,8.13,8.26,247172,0
HAFN.US,D,20240513,000000,8.3,8.44,8.23,8.4,339886,0
HAFN.US,D,20240514,000000,8.34,8.6,8.28,8.55,635492,0
HAFN.US,D,20240515,000000,8.3,8.53,8.165,8.47,664369,0
HAFN.US,D,20240516,000000,8.4,8.634,8.3212,8.51,223784,0
HAFN.US,D,20240517,000000,8.64,8.7,8.53,8.65,202115,0
HAFN.US,D,20240520,000000,8.65,8.72,8.56,8.61,532054,0
HAFN.US,D,20240521,000000,8.5,8.7,8.47,8.66,885632,0
