<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INGM.US,D,20241024,000000,25.28,25.69,24.17,24.6,7748041,0
INGM.US,D,20241025,000000,24.61,24.8,23.9509,24.25,1185975,0
INGM.US,D,20241028,000000,24.7,24.86,24.01,24.01,506837,0
INGM.US,D,20241029,000000,24,24.11,23.01,24,547181,0
INGM.US,D,20241030,000000,23.82,24.45,23.8,24.13,380749,0
INGM.US,D,20241031,000000,24.38,24.78,23.94,24.25,450749,0
INGM.US,D,20241101,000000,24.4,24.47,24,24.22,292200,0
INGM.US,D,20241104,000000,24.11,24.175,23.51,23.58,141654,0
INGM.US,D,20241105,000000,23.32,24.03,23.32,24.03,121453,0
INGM.US,D,20241106,000000,24.5,24.5,24.03,24.34,253270,0
INGM.US,D,20241107,000000,24.23,24.34,23.57,24.18,152930,0
INGM.US,D,20241108,000000,24,24.12,23.684,24.08,123222,0
INGM.US,D,20241111,000000,24.55,24.76,23.925,24.61,289935,0
INGM.US,D,20241112,000000,24.575,24.575,23.56,24.09,349574,0
INGM.US,D,20241113,000000,23.81,24.446,23.52,24,231315,0
INGM.US,D,20241114,000000,24.09,24.15,23.47,23.47,177978,0
INGM.US,D,20241115,000000,23.15,23.364,22.25,22.75,235505,0
INGM.US,D,20241118,000000,22.85,23.15,22.007,22.77,505200,0
INGM.US,D,20241119,000000,22.83,23.198,22.64,22.78,195192,0
INGM.US,D,20241120,000000,22.56,22.595,21.84,21.89,241702,0
INGM.US,D,20241121,000000,22,22.07,21.25,21.47,226242,0
INGM.US,D,20241122,000000,21.47,22.01,21.14,22,486740,0
INGM.US,D,20241125,000000,21.98,22.31,21.38,22.16,281365,0
INGM.US,D,20241126,000000,21.96,22.08,21.58,21.82,349058,0
INGM.US,D,20241127,000000,21.7,22.57,21.51,22.53,882390,0
INGM.US,D,20241129,000000,22.86,24.25,22.56,23.82,393577,0
INGM.US,D,20241202,000000,23.725,23.8475,22.81,23.31,251868,0
INGM.US,D,20241203,000000,22.7727,23.4999,22.6,23.1,156171,0
INGM.US,D,20241204,000000,23.5483,23.5966,22.69,22.78,449109,0
INGM.US,D,20241205,000000,22.53,23.13,22.37,23.02,195058,0
INGM.US,D,20241206,000000,23.16,23.46,22.71,22.9,215164,0
INGM.US,D,20241209,000000,22.985,23.24,22.3,22.47,210393,0
INGM.US,D,20241210,000000,22.43,22.63,21.61,21.7,268170,0
INGM.US,D,20241211,000000,21.8564,22.46,21.5,22.12,314985,0
INGM.US,D,20241212,000000,22.07,22.29,21.54,21.6,209239,0
INGM.US,D,20241213,000000,21.77,21.77,21.04,21.1,277494,0
INGM.US,D,20241216,000000,21.135,21.7,20.83,21.05,251882,0
INGM.US,D,20241217,000000,21.08,21.35,20.61,20.94,254026,0
INGM.US,D,20241218,000000,21.08,21.34,19.19,19.74,383846,0
INGM.US,D,20241219,000000,19.97,20.265,19.19,19.79,319768,0
INGM.US,D,20241220,000000,20,20.5,19.29,19.88,1271505,0
INGM.US,D,20241223,000000,19.92,20.5,19.5101,20.24,269971,0
INGM.US,D,20241224,000000,20.3291,20.8,20.13,20.43,157001,0
INGM.US,D,20241226,000000,20.32,20.93,20.195,20.39,301187,0
INGM.US,D,20241227,000000,20.2,20.24,19.11,19.59,408810,0
INGM.US,D,20241230,000000,19.58,20.02,18.9,19.59,367087,0
INGM.US,D,20241231,000000,19.64,19.71,19.045,19.39,385298,0
INGM.US,D,20250102,000000,19.3958,20.03,19.35,19.8,880057,0
INGM.US,D,20250103,000000,20,20.05,19.49,19.79,560614,0
INGM.US,D,20250106,000000,20.125,20.6,19.96,20.25,330106,0
INGM.US,D,20250107,000000,20.38,20.76,20.08,20.61,285284,0
INGM.US,D,20250108,000000,20.625,20.705,19.505,19.59,730978,0
INGM.US,D,20250110,000000,19.4483,19.98,19.13,19.74,278834,0
