<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JACS-U.US,D,20241211,000000,10.0201,10.04,10.02,10.04,1068394,0
JACS-U.US,D,20241212,000000,10.04,10.04,10.03,10.04,300632,0
JACS-U.US,D,20241213,000000,10.04,10.06,10.03,10.04,214483,0
JACS-U.US,D,20241216,000000,10.0395,10.04,10.0301,10.035,250799,0
JACS-U.US,D,20241217,000000,10.03,10.035,10.02,10.03,756605,0
JACS-U.US,D,20241218,000000,10.03,10.03,10.02,10.02,103639,0
JACS-U.US,D,20241219,000000,10.03,10.035,10.02,10.03,293700,0
JACS-U.US,D,20241220,000000,10.03,10.03,10.02,10.03,3820,0
JACS-U.US,D,20241223,000000,10.03,10.03,10.02,10.03,28630,0
JACS-U.US,D,20241224,000000,10.03,10.03,10.02,10.03,1100,0
JACS-U.US,D,20241226,000000,10.03,10.03,10.02,10.02,65290,0
JACS-U.US,D,20241227,000000,10.03,10.04,10.03,10.04,300659,0
JACS-U.US,D,20241230,000000,10.04,10.05,10.04,10.05,671,0
JACS-U.US,D,20241231,000000,10.04,10.06,10.04,10.06,754206,0
JACS-U.US,D,20250102,000000,10.05,10.06,10.05,10.05,500714,0
JACS-U.US,D,20250106,000000,10.06,10.06,10.06,10.06,28004,0
JACS-U.US,D,20250107,000000,10.069,10.07,10.06,10.07,43532,0
JACS-U.US,D,20250108,000000,10.08,10.08,10.0793,10.0793,53413,0
JACS-U.US,D,20250110,000000,10.08,10.08,10.07,10.08,26578,0
