<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JIII.US,D,20241120,000000,50.1,50.1049,50.1,50.1049,155,0
JIII.US,D,20241203,000000,50.55,50.55,50.515,50.515,3154,0
JIII.US,D,20241204,000000,50.65,50.67,50.6482,50.6482,602,0
JIII.US,D,20241205,000000,50.69,50.69,50.69,50.69,474,0
JIII.US,D,20241209,000000,50.8,50.8,50.795,50.795,237,0
JIII.US,D,20241210,000000,50.77,50.78,50.68,50.7771,151098,0
JIII.US,D,20241211,000000,50.88,51.18,50.74,50.74,102220,0
JIII.US,D,20241212,000000,50.71,50.73,50.6429,50.6429,468468,0
JIII.US,D,20241213,000000,50.61,50.61,50.4808,50.4808,3038,0
JIII.US,D,20241216,000000,50.51,50.51,50.5094,50.5094,224,0
JIII.US,D,20241217,000000,50.5481,50.55,50.53,50.53,426,0
JIII.US,D,20241219,000000,50.274,50.274,50.2444,50.2444,454,0
JIII.US,D,20241220,000000,50.3087,50.31,50.3087,50.31,184,0
JIII.US,D,20241223,000000,50.025,50.24,50.025,50.24,1216,0
JIII.US,D,20241224,000000,49.98,50.0285,49.98,50.0285,891,0
JIII.US,D,20241226,000000,50.13,50.13,50.1175,50.1175,635,0
JIII.US,D,20241230,000000,50.13,50.1425,50.13,50.1425,167,0
JIII.US,D,20241231,000000,50.13,50.14,50.1235,50.1235,1397,0
JIII.US,D,20250102,000000,50.1094,50.1094,50.105,50.105,264,0
JIII.US,D,20250103,000000,50.26,50.26,50.2303,50.2303,287,0
JIII.US,D,20250106,000000,50.33,50.33,50.33,50.33,196,0
JIII.US,D,20250107,000000,50.145,50.15,50.11,50.11,3144,0
JIII.US,D,20250108,000000,50.067,50.0904,50.067,50.0904,794,0
JIII.US,D,20250110,000000,49.89,49.89,49.8099,49.8099,18624,0
