<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KDEC.US,D,20241203,000000,25,25.02,24.86,24.94,386850,0
KDEC.US,D,20241204,000000,24.95,25.0001,24.8808,24.9501,147225,0
KDEC.US,D,20241205,000000,24.97,24.98,24.7843,24.83,175649,0
KDEC.US,D,20241206,000000,24.9487,24.9487,24.82,24.91,129313,0
KDEC.US,D,20241209,000000,24.9999,24.9999,24.8,24.83,42029,0
KDEC.US,D,20241210,000000,24.7566,25.7799,24.706,24.76,89008,0
KDEC.US,D,20241211,000000,24.81,24.89,24.76,24.83,79037,0
KDEC.US,D,20241212,000000,24.78,24.81,24.61,24.73,351686,0
KDEC.US,D,20241213,000000,24.61,24.8672,24.44,24.58,42994,0
KDEC.US,D,20241216,000000,24.58,24.71,24.54,24.6407,63233,0
KDEC.US,D,20241217,000000,24.61,24.6399,24.4709,24.53,276616,0
KDEC.US,D,20241218,000000,24.6,24.61,23.75,23.95,56557,0
KDEC.US,D,20241219,000000,24.09,24.09,23.825,23.8594,49166,0
KDEC.US,D,20241220,000000,23.83,24.19,23.79,24.03,309919,0
KDEC.US,D,20241223,000000,23.96,24.1178,23.82,23.99,111069,0
KDEC.US,D,20241224,000000,23.95,24.12,23.94,24.0876,44319,0
KDEC.US,D,20241226,000000,24.04,24.2699,24.04,24.24,88340,0
KDEC.US,D,20241227,000000,24.17,24.2,23.92,24.06,76994,0
KDEC.US,D,20241230,000000,24,24.03,23.7915,23.98,412212,0
KDEC.US,D,20241231,000000,24.0608,24.0909,23.9011,23.98,86858,0
KDEC.US,D,20250102,000000,24.05,24.13,23.8393,23.98,26646,0
KDEC.US,D,20250103,000000,23.99,24.21,23.99,24.21,11853,0
KDEC.US,D,20250106,000000,24.3,24.33,24.15,24.2,29955,0
KDEC.US,D,20250107,000000,24.26,24.26,23.9796,24.08,30289,0
KDEC.US,D,20250108,000000,23.99,24.04,23.89,24.04,30814,0
KDEC.US,D,20250110,000000,23.65,23.7399,23.6,23.7,100688,0
