<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LDRC.US,D,20241114,000000,24.95,25.1,24.94,24.9505,48066,0
LDRC.US,D,20241115,000000,24.97,24.97,24.9502,24.9502,544,0
LDRC.US,D,20241118,000000,24.97,24.98,24.97,24.97,609,0
LDRC.US,D,20241119,000000,24.99,25.05,24.99,25.008,10792,0
LDRC.US,D,20241122,000000,24.95,24.9605,24.95,24.9605,103,0
LDRC.US,D,20241125,000000,25.03,25.04,25.03,25.03,1304,0
LDRC.US,D,20241126,000000,24.98,25.01,24.98,25.01,182,0
LDRC.US,D,20241202,000000,25.07,25.1,25.02,25.1,1210,0
LDRC.US,D,20241203,000000,25.02,25.02,25,25,276,0
LDRC.US,D,20241212,000000,25.04,25.0999,25.02,25.02,4318,0
LDRC.US,D,20241216,000000,25.0028,25.0028,25,25,1059,0
LDRC.US,D,20241217,000000,25.01,25.025,25,25,1328,0
LDRC.US,D,20241219,000000,24.89,24.9059,24.89,24.905,1382,0
LDRC.US,D,20241220,000000,24.85,24.86,24.8479,24.8479,1876,0
LDRC.US,D,20241223,000000,24.84,24.85,24.83,24.85,1037,0
LDRC.US,D,20241224,000000,24.82,24.87,24.82,24.8436,3138,0
LDRC.US,D,20241226,000000,24.8771,24.88,24.8661,24.8661,1212,0
LDRC.US,D,20241227,000000,24.87,24.87,24.86,24.86,120,0
LDRC.US,D,20241230,000000,24.9,24.902,24.8999,24.8999,12779,0
LDRC.US,D,20241231,000000,24.898,24.92,24.898,24.9,577,0
LDRC.US,D,20250102,000000,24.9,24.91,24.9,24.91,1584,0
LDRC.US,D,20250103,000000,24.91,24.92,24.9,24.9,11122,0
LDRC.US,D,20250106,000000,24.8886,24.98,24.8886,24.92,66672,0
LDRC.US,D,20250107,000000,24.88,24.905,24.87,24.88,7313,0
LDRC.US,D,20250108,000000,24.9099,24.9099,24.89,24.8934,4948,0
LDRC.US,D,20250110,000000,24.88,24.91,24.8432,24.8432,1328,0
