<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LDRH.US,D,20241122,000000,24.99,24.99,24.9655,24.9655,403,0
LDRH.US,D,20241125,000000,25.0499,25.0499,25.0479,25.0479,2006,0
LDRH.US,D,20241126,000000,25.01,25.02,25.005,25.005,2001,0
LDRH.US,D,20241129,000000,25.1,25.11,25.085,25.085,3004,0
LDRH.US,D,20241204,000000,24.99,25.02,24.99,24.99,2412,0
LDRH.US,D,20241206,000000,25.03,25.04,25.03,25.032,2012,0
LDRH.US,D,20241209,000000,25.02,25.02,25.005,25.005,3004,0
LDRH.US,D,20241212,000000,25,25,24.9797,24.9797,262,0
LDRH.US,D,20241218,000000,24.8474,24.8474,24.7815,24.7815,1342,0
LDRH.US,D,20241219,000000,24.801,24.8298,24.7841,24.7841,825,0
LDRH.US,D,20241220,000000,24.76,24.779,24.75,24.755,2555,0
LDRH.US,D,20241223,000000,24.739,24.78,24.7238,24.73,3917,0
LDRH.US,D,20241224,000000,24.7589,24.7629,24.7589,24.7629,1127,0
LDRH.US,D,20241226,000000,24.828,24.828,24.8015,24.8187,1399,0
LDRH.US,D,20241227,000000,24.8,24.81,24.775,24.775,952,0
LDRH.US,D,20241230,000000,24.795,24.83,24.795,24.81,1483,0
LDRH.US,D,20241231,000000,24.805,24.805,24.7998,24.7998,503,0
LDRH.US,D,20250102,000000,24.829,24.84,24.825,24.825,482,0
LDRH.US,D,20250106,000000,24.85,24.8999,24.85,24.87,304,0
LDRH.US,D,20250108,000000,24.87,24.87,24.8507,24.8507,331,0
LDRH.US,D,20250110,000000,24.83,24.855,24.817,24.8272,2131,0
