<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LEVGQ.US,D,20201012,000000,9.75,10,9.64,9.65,27941,0
LEVGQ.US,D,20201013,000000,9.8075,9.8075,9.6,9.627,6803,0
LEVGQ.US,D,20201014,000000,9.6,10,9.6,9.67,16905,0
LEVGQ.US,D,20201015,000000,9.7,9.7,9.61,9.68,10215,0
LEVGQ.US,D,20201016,000000,9.65,9.75,9.61,9.75,21091,0
LEVGQ.US,D,20201019,000000,9.6,9.7,9.6,9.68,12741,0
LEVGQ.US,D,20201020,000000,9.7,9.7,9.64,9.65,477283,0
LEVGQ.US,D,20201021,000000,9.65,9.67,9.64,9.64,55119,0
LEVGQ.US,D,20201022,000000,9.7,9.7,9.63,9.65,516624,0
LEVGQ.US,D,20201023,000000,9.7,9.72,9.65,9.65,27018,0
LEVGQ.US,D,20201026,000000,9.7,9.7,9.6442,9.65,141345,0
LEVGQ.US,D,20201027,000000,9.7,9.7,9.6477,9.67,8851,0
LEVGQ.US,D,20201028,000000,9.6,9.67,9.6,9.64,3279,0
LEVGQ.US,D,20201029,000000,9.69,9.69,9.62,9.64,116959,0
LEVGQ.US,D,20201030,000000,9.69,9.69,9.6,9.63,38754,0
LEVGQ.US,D,20201102,000000,9.98,10.04,9.75,9.85,310013,0
LEVGQ.US,D,20201103,000000,9.99,9.99,9.81,9.85,124532,0
LEVGQ.US,D,20201104,000000,9.86,9.989,9.8,9.85,88253,0
LEVGQ.US,D,20201105,000000,9.85,10,9.8,9.93,143797,0
LEVGQ.US,D,20201106,000000,10.05,10.125,9.8801,10.09,107768,0
LEVGQ.US,D,20201109,000000,10.25,10.25,9.95,9.98,67858,0
LEVGQ.US,D,20201110,000000,10.09,10.09,9.92,9.98,43916,0
LEVGQ.US,D,20201111,000000,9.9,10,9.87,9.8998,53170,0
LEVGQ.US,D,20201112,000000,9.96,9.995,9.83,9.87,76732,0
LEVGQ.US,D,20201113,000000,9.87,9.97,9.87,9.8812,276749,0
LEVGQ.US,D,20201116,000000,9.92,10,9.85,9.98,90299,0
LEVGQ.US,D,20201117,000000,10,10.1,10,10.07,68820,0
LEVGQ.US,D,20201118,000000,10.13,10.3,10.01,10.3,166611,0
LEVGQ.US,D,20201119,000000,10.45,10.79,10.02,10.5,1245365,0
LEVGQ.US,D,20201120,000000,10.7,10.82,10.45,10.74,979140,0
LEVGQ.US,D,20201123,000000,11.25,11.35,10.8,11.2,1553915,0
LEVGQ.US,D,20201124,000000,11.54,11.88,11.11,11.42,1821220,0
LEVGQ.US,D,20201125,000000,11.4,13.71,11.3701,12.74,3359866,0
LEVGQ.US,D,20201127,000000,13.31,13.44,12.03,13.04,1681104,0
LEVGQ.US,D,20201130,000000,15.59,15.71,12.81,14,16407678,0
LEVGQ.US,D,20201201,000000,14.5,14.73,12.945,13.2,6995352,0
LEVGQ.US,D,20201202,000000,12.57,13.28,11.81,12.88,3707001,0
LEVGQ.US,D,20201203,000000,13.25,13.42,12.9,13.34,2803644,0
LEVGQ.US,D,20201204,000000,13.4,14.74,13.3,14.25,4399150,0
LEVGQ.US,D,20201207,000000,15.3,16.28,15.2,16.1,7372988,0
LEVGQ.US,D,20201208,000000,16.56,17.2,15.56,16.37,4883086,0
LEVGQ.US,D,20201209,000000,16.37,16.55,14.85,15.38,4661977,0
LEVGQ.US,D,20201210,000000,15,15.6871,14.5,15.3,2213087,0
LEVGQ.US,D,20201211,000000,15.15,16.24,14.5,15.4,3446651,0
LEVGQ.US,D,20201214,000000,16,16.1,14.85,15.49,2247533,0
LEVGQ.US,D,20201215,000000,14.81,15.4,13.87,14.08,2856823,0
LEVGQ.US,D,20201216,000000,14,14.87,13.61,14.27,2165145,0
