<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LFAE.US,D,20240917,000000,13.2057,13.2057,13.2057,13.2057,15,0
LFAE.US,D,20240918,000000,13.15,13.15,13.127,13.127,10319,0
LFAE.US,D,20240919,000000,13.1,13.1057,13.1,13.1057,8100,0
LFAE.US,D,20240920,000000,13.1199,13.1199,13.115,13.115,6111,0
LFAE.US,D,20240923,000000,13.095,13.095,13.095,13.095,2,0
LFAE.US,D,20240924,000000,13.11,13.12,13.11,13.12,700,0
LFAE.US,D,20240925,000000,13.07,13.07,13.055,13.055,6807,0
LFAE.US,D,20240926,000000,13.02,13.0568,13.02,13.05,1765,0
LFAE.US,D,20240927,000000,13.1,13.1,13.1,13.1,601,0
LFAE.US,D,20240930,000000,13.09,13.09,13.05,13.0501,21999,0
LFAE.US,D,20241001,000000,13.1,13.32,13.1,13.12,22519,0
LFAE.US,D,20241002,000000,12.96,12.97,12.9599,12.97,340,0
LFAE.US,D,20241003,000000,12.94,12.94,12.9,12.9,4680,0
LFAE.US,D,20241004,000000,12.79,12.82,12.7701,12.7701,35650,0
LFAE.US,D,20241007,000000,12.7299,12.7299,12.72,12.72,160,0
LFAE.US,D,20241008,000000,12.72,12.7259,12.705,12.7259,1452,0
LFAE.US,D,20241009,000000,12.72,12.72,12.68,12.68,800,0
LFAE.US,D,20241010,000000,12.67,12.67,12.67,12.67,1,0
LFAE.US,D,20241011,000000,12.67,12.67,12.67,12.67,1,0
LFAE.US,D,20241014,000000,12.6438,12.6438,12.6438,12.6438,2,0
LFAE.US,D,20241015,000000,12.725,12.725,12.725,12.725,2,0
LFAE.US,D,20241016,000000,12.75,12.75,12.75,12.75,1,0
LFAE.US,D,20241017,000000,12.67,12.67,12.66,12.66,24200,0
LFAE.US,D,20241018,000000,12.68,12.68,12.68,12.68,2,0
LFAE.US,D,20241021,000000,12.61,12.61,12.56,12.56,24300,0
LFAE.US,D,20241022,000000,12.56,12.57,12.5549,12.5549,870,0
LFAE.US,D,20241023,000000,12.52,12.52,12.5156,12.5156,7988,0
LFAE.US,D,20241024,000000,12.557,12.56,12.551,12.56,1600,0
LFAE.US,D,20241025,000000,12.525,12.525,12.525,12.525,2,0
LFAE.US,D,20241028,000000,12.49,12.49,12.49,12.49,2,0
LFAE.US,D,20241029,000000,12.498,12.498,12.498,12.498,2,0
LFAE.US,D,20241030,000000,12.56,12.56,12.495,12.495,3260,0
LFAE.US,D,20241031,000000,12.4706,12.51,12.46,12.51,8045,0
LFAE.US,D,20241101,000000,12.485,12.49,12.41,12.41,2000,0
LFAE.US,D,20241104,000000,12.44,12.44,12.39,12.42,1357,0
LFAE.US,D,20241105,000000,12.3707,12.44,12.36,12.44,1643,0
LFAE.US,D,20241106,000000,12.25,12.285,12.23,12.27,9451,0
LFAE.US,D,20241107,000000,12.33,12.375,12.33,12.3686,200,0
LFAE.US,D,20241108,000000,12.4148,12.4148,12.4148,12.4148,63,0
LFAE.US,D,20241111,000000,12.366,12.375,12.366,12.375,634,0
LFAE.US,D,20241112,000000,12.28,12.28,12.275,12.275,8666,0
LFAE.US,D,20241118,000000,12.29,12.3,12.29,12.3,646,0
LFAE.US,D,20241120,000000,12.29,12.32,12.29,12.29,7615,0
LFAE.US,D,20241121,000000,12.31,12.34,12.28,12.3,9216,0
LFAE.US,D,20241127,000000,12.49,12.49,12.4711,12.4711,150,0
LFAE.US,D,20241202,000000,12.54,12.55,12.54,12.55,180,0
LFAE.US,D,20241203,000000,12.4841,12.4848,12.42,12.42,368,0
LFAE.US,D,20241206,000000,12.51,12.525,12.51,12.525,100,0
LFAE.US,D,20241210,000000,12.4499,12.45,12.44,12.4469,8000,0
LFAE.US,D,20241211,000000,12.41,12.41,12.39,12.39,974,0
LFAE.US,D,20241223,000000,12.11,12.11,12.09,12.09,7973,0
LFAE.US,D,20241224,000000,12.05,12.09,12.05,12.09,891,0
LFAE.US,D,20241226,000000,12.1091,12.1091,12.1,12.1,1151,0
LFAE.US,D,20241227,000000,12.09,12.09,12.06,12.06,4257,0
LFAE.US,D,20241230,000000,12.13,12.13,12.12,12.13,1361,0
LFAE.US,D,20241231,000000,12.15,12.15,12.105,12.105,100,0
LFAE.US,D,20250103,000000,12.02,12.02,12.0062,12.01,205,0
LFAE.US,D,20250106,000000,11.9999,12,11.97,11.985,659,0
LFAE.US,D,20250107,000000,11.92,11.92,11.92,11.92,8469,0
