<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LFAF.US,D,20240924,000000,13.672,13.672,13.672,13.672,2,0
LFAF.US,D,20240925,000000,13.63,13.63,13.6048,13.6048,3900,0
LFAF.US,D,20240926,000000,13.5991,13.5991,13.5991,13.5991,2,0
LFAF.US,D,20240927,000000,13.6468,13.6468,13.6468,13.6468,2,0
LFAF.US,D,20240930,000000,13.66,13.66,13.6135,13.6135,9900,0
LFAF.US,D,20241001,000000,13.6776,13.6776,13.6776,13.6776,2,0
LFAF.US,D,20241002,000000,13.5301,13.5301,13.5301,13.5301,2,0
LFAF.US,D,20241003,000000,13.49,13.51,13.455,13.455,19200,0
LFAF.US,D,20241004,000000,13.35,13.37,13.3195,13.3195,34300,0
LFAF.US,D,20241007,000000,13.27,13.27,13.27,13.27,2,0
LFAF.US,D,20241008,000000,13.275,13.275,13.275,13.275,2,0
LFAF.US,D,20241009,000000,13.225,13.225,13.225,13.225,2,0
LFAF.US,D,20241010,000000,13.19,13.21,13.19,13.21,100,0
LFAF.US,D,20241011,000000,13.2097,13.2097,13.2097,13.2097,2,0
LFAF.US,D,20241014,000000,13.1816,13.1816,13.1816,13.1816,2,0
LFAF.US,D,20241015,000000,13.2719,13.2719,13.2719,13.2719,2,0
LFAF.US,D,20241016,000000,13.2913,13.2913,13.2913,13.2913,1,0
LFAF.US,D,20241017,000000,13.21,13.21,13.1999,13.1999,55000,0
LFAF.US,D,20241018,000000,13.215,13.215,13.215,13.215,2,0
LFAF.US,D,20241021,000000,13.15,13.15,13.09,13.09,27000,0
LFAF.US,D,20241022,000000,13.085,13.085,13.085,13.085,2,0
LFAF.US,D,20241023,000000,13.03,13.05,13.03,13.045,10100,0
LFAF.US,D,20241024,000000,13.09,13.09,13.09,13.09,2,0
LFAF.US,D,20241025,000000,13.09,13.1,13.0475,13.0475,2300,0
LFAF.US,D,20241028,000000,13,13.0151,13,13.0151,3000,0
LFAF.US,D,20241029,000000,13,13.0243,13,13.0243,1500,0
LFAF.US,D,20241030,000000,13.02,13.02,13.02,13.02,2,0
LFAF.US,D,20241031,000000,12.98,13.0162,12.98,13.0162,1500,0
LFAF.US,D,20241101,000000,12.96,12.96,12.95,12.95,1200,0
LFAF.US,D,20241104,000000,12.9361,12.9361,12.9361,12.9361,1,0
LFAF.US,D,20241105,000000,12.96,12.96,12.96,12.96,2,0
LFAF.US,D,20241106,000000,12.7875,12.7875,12.7875,12.7875,2,0
LFAF.US,D,20241107,000000,12.86,12.8898,12.86,12.8898,201,0
LFAF.US,D,20241108,000000,12.9401,12.9401,12.9401,12.9401,1,0
LFAF.US,D,20241125,000000,12.999,12.999,12.985,12.985,100,0
LFAF.US,D,20241202,000000,13.08,13.085,13.08,13.085,102,0
LFAF.US,D,20241203,000000,12.98,12.98,12.94,12.94,300,0
LFAF.US,D,20241205,000000,13.03,13.03,13.03,13.03,100,0
LFAF.US,D,20241206,000000,13.06,13.065,13.05,13.065,300,0
LFAF.US,D,20241216,000000,12.765,12.7819,12.765,12.7819,100,0
LFAF.US,D,20241224,000000,12.6,12.6,12.6,12.6,500,0
