<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LFAJ.US,D,20240930,000000,14.73,14.73,14.683,14.683,3000,0
LFAJ.US,D,20241004,000000,14.4,14.41,14.365,14.365,10000,0
LFAJ.US,D,20241016,000000,14.3308,14.3308,14.3308,14.3308,1,0
LFAJ.US,D,20241017,000000,14.23,14.23,14.22,14.225,3800,0
LFAJ.US,D,20241021,000000,14.14,14.14,14.1,14.1,800,0
LFAJ.US,D,20241024,000000,14.12,14.12,14.0999,14.0999,100,0
LFAJ.US,D,20241028,000000,14,14.015,14,14.015,700,0
LFAJ.US,D,20241031,000000,14,14.0241,14,14.0241,1500,0
LFAJ.US,D,20241101,000000,13.96,13.96,13.929,13.929,500,0
LFAJ.US,D,20241106,000000,13.75,13.775,13.75,13.775,100,0
LFAJ.US,D,20241112,000000,13.79,13.8,13.79,13.7904,14700,0
LFAJ.US,D,20241118,000000,13.81,13.81,13.81,13.81,100,0
LFAJ.US,D,20241203,000000,14.02,14.02,13.98,13.98,400,0
