<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LFAK.US,D,20240924,000000,15.27,15.27,15.27,15.27,100,0
LFAK.US,D,20240925,000000,15.21,15.21,15.19,15.19,8700,0
LFAK.US,D,20240930,000000,15.24,15.24,15.1861,15.1861,2700,0
LFAK.US,D,20241003,000000,15.06,15.06,15.019,15.019,1500,0
LFAK.US,D,20241004,000000,14.89,14.91,14.8649,14.8649,13300,0
LFAK.US,D,20241008,000000,14.8051,14.8051,14.8051,14.8051,30,0
LFAK.US,D,20241011,000000,14.715,14.715,14.715,14.715,50,0
LFAK.US,D,20241014,000000,14.6823,14.6823,14.6823,14.6823,20,0
LFAK.US,D,20241015,000000,14.8,14.8,14.8,14.8,20,0
LFAK.US,D,20241016,000000,14.8252,14.8252,14.8252,14.8252,1,0
LFAK.US,D,20241017,000000,14.7148,14.7148,14.7148,14.7148,20,0
LFAK.US,D,20241018,000000,14.7265,14.7265,14.7265,14.7265,20,0
LFAK.US,D,20241021,000000,14.63,14.63,14.5654,14.5654,4800,0
LFAK.US,D,20241022,000000,14.5651,14.5651,14.5651,14.5651,20,0
LFAK.US,D,20241023,000000,14.5256,14.5256,14.5256,14.5256,20,0
LFAK.US,D,20241024,000000,14.58,14.58,14.58,14.58,20,0
LFAK.US,D,20241025,000000,14.59,14.59,14.525,14.525,4200,0
LFAK.US,D,20241028,000000,14.4951,14.4951,14.4951,14.4951,20,0
LFAK.US,D,20241029,000000,14.43,14.5041,14.43,14.5041,5100,0
LFAK.US,D,20241030,000000,14.5051,14.5051,14.5051,14.5051,20,0
LFAK.US,D,20241031,000000,14.5058,14.5058,14.5058,14.5058,20,0
LFAK.US,D,20241101,000000,14.44,14.44,14.44,14.44,2200,0
LFAK.US,D,20241104,000000,14.4275,14.4275,14.4275,14.4275,20,0
LFAK.US,D,20241105,000000,14.4551,14.4551,14.4551,14.4551,20,0
LFAK.US,D,20241106,000000,14.2351,14.2351,14.2351,14.2351,20,0
LFAK.US,D,20241107,000000,14.369,14.369,14.369,14.369,20,0
LFAK.US,D,20241108,000000,14.4434,14.4434,14.4434,14.4434,20,0
LFAK.US,D,20241112,000000,14.27,14.27,14.2551,14.2551,2100,0
LFAK.US,D,20241202,000000,14.6,14.62,14.6,14.62,100,0
LFAK.US,D,20241203,000000,14.51,14.51,14.48,14.48,700,0
LFAK.US,D,20241205,000000,14.58,14.58,14.58,14.58,100,0
