<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LFAL.US,D,20241004,000000,15.38,15.38,15.3343,15.3343,9300,0
LFAL.US,D,20241016,000000,15.293,15.293,15.293,15.293,1,0
LFAL.US,D,20241021,000000,15.08,15.08,15.0136,15.0136,100,0
LFAL.US,D,20241023,000000,14.96,14.9751,14.96,14.9751,800,0
LFAL.US,D,20241029,000000,14.9,14.9453,14.9,14.9453,100,0
LFAL.US,D,20241105,000000,14.9051,14.9051,14.9051,14.9051,2,0
LFAL.US,D,20241106,000000,14.6751,14.6751,14.6751,14.6751,1,0
LFAL.US,D,20241107,000000,14.8124,14.8124,14.8124,14.8124,1,0
LFAL.US,D,20241108,000000,14.8951,14.8951,14.8951,14.8951,1,0
LFAL.US,D,20241203,000000,14.97,14.97,14.94,14.94,500,0
LFAL.US,D,20241205,000000,15.04,15.04,15.04,15.04,100,0
LFAL.US,D,20241209,000000,15.01,15.01,15.01,15.01,100,0
LFAL.US,D,20241210,000000,14.95,14.95,14.95,14.95,100,0
LFAL.US,D,20241219,000000,14.47,14.47,14.468,14.468,100,0
