<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LFAO.US,D,20240924,000000,16.6449,16.6449,16.6449,16.6449,1,0
LFAO.US,D,20240925,000000,16.59,16.59,16.5462,16.5462,1500,0
LFAO.US,D,20240926,000000,16.55,16.55,16.55,16.55,2,0
LFAO.US,D,20240927,000000,16.64,16.64,16.6077,16.6077,100,0
LFAO.US,D,20240930,000000,16.61,16.61,16.59,16.59,4000,0
LFAO.US,D,20241001,000000,16.655,16.655,16.655,16.655,2,0
LFAO.US,D,20241002,000000,16.4793,16.4793,16.4793,16.4793,2,0
LFAO.US,D,20241003,000000,16.3796,16.3796,16.3796,16.3796,2,0
LFAO.US,D,20241004,000000,16.26,16.26,16.22,16.22,2800,0
LFAO.US,D,20241007,000000,16.1156,16.1156,16.1156,16.1156,2,0
LFAO.US,D,20241008,000000,16.1268,16.1268,16.1268,16.1268,2,0
LFAO.US,D,20241009,000000,16.06,16.06,16.06,16.06,2,0
LFAO.US,D,20241010,000000,16.0301,16.0301,16.0301,16.0301,2,0
LFAO.US,D,20241011,000000,16.0154,16.0154,16.0154,16.0154,2,0
LFAO.US,D,20241014,000000,15.9789,15.9789,15.9789,15.9789,2,0
LFAO.US,D,20241015,000000,16.1203,16.1203,16.1203,16.1203,2,0
LFAO.US,D,20241016,000000,16.1551,16.1551,16.1551,16.1551,1,0
LFAO.US,D,20241017,000000,16.02,16.02,16.0149,16.0149,100,0
LFAO.US,D,20241018,000000,16.0298,16.0298,16.0298,16.0298,2,0
LFAO.US,D,20241021,000000,15.8389,15.8389,15.8389,15.8389,1,0
LFAO.US,D,20241022,000000,15.84,15.84,15.84,15.84,1,0
LFAO.US,D,20241023,000000,15.7951,15.7951,15.7951,15.7951,1,0
LFAO.US,D,20241024,000000,15.855,15.855,15.855,15.855,1,0
LFAO.US,D,20241025,000000,15.7942,15.7942,15.7942,15.7942,1,0
LFAO.US,D,20241028,000000,15.7625,15.7625,15.7625,15.7625,1,0
LFAO.US,D,20241029,000000,15.7695,15.7695,15.7695,15.7695,1,0
LFAO.US,D,20241030,000000,15.7759,15.7759,15.7759,15.7759,1,0
LFAO.US,D,20241031,000000,15.7806,15.7806,15.7806,15.7806,1,0
LFAO.US,D,20241104,000000,15.7061,15.7061,15.7061,15.7061,1,0
LFAO.US,D,20241105,000000,15.745,15.745,15.745,15.745,1,0
LFAO.US,D,20241106,000000,15.4849,15.4849,15.4849,15.4849,1,0
LFAO.US,D,20241107,000000,15.6314,15.6314,15.6314,15.6314,1,0
LFAO.US,D,20241108,000000,15.7277,15.7277,15.7277,15.7277,1,0
LFAO.US,D,20241112,000000,15.53,15.53,15.5105,15.5105,400,0
LFAO.US,D,20241203,000000,15.82,15.83,15.79,15.79,701,0
LFAO.US,D,20241205,000000,15.91,15.91,15.91,15.91,102,0
LFAO.US,D,20241209,000000,15.86,15.86,15.86,15.86,103,0
LFAO.US,D,20241210,000000,15.8,15.8,15.8,15.8,100,0
LFAO.US,D,20241211,000000,15.72,15.72,15.72,15.72,100,0
LFAO.US,D,20241212,000000,15.6,15.6,15.6,15.6,100,0
LFAO.US,D,20241213,000000,15.51,15.51,15.4949,15.4949,700,0
LFAO.US,D,20241231,000000,15.25,15.26,15.2326,15.2326,4700,0
