<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LFAR.US,D,20240930,000000,17.46,17.47,17.4125,17.4125,26678,0
LFAR.US,D,20241016,000000,16.9745,16.9745,16.9745,16.9745,1,0
LFAR.US,D,20241021,000000,16.68,16.68,16.649,16.649,401,0
LFAR.US,D,20241022,000000,16.639,16.639,16.639,16.639,100,0
LFAR.US,D,20241023,000000,16.599,16.599,16.599,16.599,100,0
LFAR.US,D,20241024,000000,16.6549,16.6549,16.6549,16.6549,1,0
LFAR.US,D,20241025,000000,16.58,16.58,16.58,16.58,199,0
LFAR.US,D,20241028,000000,16.56,16.56,16.56,16.56,201,0
LFAR.US,D,20241029,000000,16.51,16.5523,16.49,16.5523,300,0
LFAR.US,D,20241030,000000,16.5693,16.5693,16.5693,16.5693,1,0
LFAR.US,D,20241031,000000,16.5741,16.5741,16.5741,16.5741,1,0
LFAR.US,D,20241104,000000,16.5011,16.5011,16.5011,16.5011,1,0
LFAR.US,D,20241105,000000,16.5419,16.5419,16.5419,16.5419,1,0
LFAR.US,D,20241106,000000,16.2557,16.2557,16.2557,16.2557,1,0
LFAR.US,D,20241107,000000,16.4114,16.4114,16.4114,16.4114,1,0
LFAR.US,D,20241108,000000,16.5245,16.5245,16.5245,16.5245,1,0
LFAR.US,D,20241203,000000,16.64,16.64,16.6,16.6,900,0
LFAR.US,D,20241204,000000,16.68,16.71,16.68,16.7041,2000,0
LFAR.US,D,20241205,000000,16.69,16.717,16.69,16.717,1400,0
LFAR.US,D,20241206,000000,16.78,16.78,16.7541,16.7541,200,0
LFAR.US,D,20241212,000000,16.4,16.4,16.3665,16.3665,700,0
LFAR.US,D,20241219,000000,16.04,16.04,16.0094,16.0094,1200,0
LFAR.US,D,20241223,000000,15.97,15.97,15.97,15.97,165,0
LFAR.US,D,20241226,000000,15.94,16.0042,15.94,16.0042,2401,0
LFAR.US,D,20241231,000000,15.98,15.98,15.9748,15.9748,3301,0
