<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LFAW.US,D,20240930,000000,18.64,18.64,18.5889,18.5889,2500,0
LFAW.US,D,20241001,000000,18.6968,18.6968,18.6968,18.6968,2,0
LFAW.US,D,20241002,000000,18.4921,18.4921,18.4921,18.4921,2,0
LFAW.US,D,20241003,000000,18.3722,18.3722,18.3722,18.3722,2,0
LFAW.US,D,20241004,000000,18.1593,18.1593,18.1593,18.1593,2,0
LFAW.US,D,20241007,000000,18.0557,18.0557,18.0557,18.0557,2,0
LFAW.US,D,20241008,000000,18.0712,18.0712,18.0712,18.0712,2,0
LFAW.US,D,20241009,000000,17.9875,17.9875,17.9875,17.9875,2,0
LFAW.US,D,20241010,000000,17.9401,17.9401,17.9401,17.9401,2,0
LFAW.US,D,20241011,000000,17.9165,17.9165,17.9165,17.9165,2,0
LFAW.US,D,20241014,000000,17.8758,17.8758,17.8758,17.8758,2,0
LFAW.US,D,20241015,000000,18.0634,18.0634,18.0634,18.0634,2,0
LFAW.US,D,20241016,000000,18.1009,18.1009,18.1009,18.1009,5,0
LFAW.US,D,20241017,000000,17.91,17.9149,17.91,17.9149,700,0
LFAW.US,D,20241018,000000,17.9346,17.9346,17.9346,17.9346,4,0
LFAW.US,D,20241021,000000,17.6903,17.6903,17.6903,17.6903,2,0
LFAW.US,D,20241022,000000,17.6985,17.6985,17.6985,17.6985,2,0
LFAW.US,D,20241023,000000,17.6443,17.6443,17.6443,17.6443,2,0
LFAW.US,D,20241024,000000,17.73,17.73,17.73,17.73,2,0
LFAW.US,D,20241025,000000,17.6485,17.6485,17.6485,17.6485,2,0
LFAW.US,D,20241028,000000,17.6099,17.6099,17.6099,17.6099,2,0
LFAW.US,D,20241029,000000,17.6196,17.6196,17.6196,17.6196,2,0
LFAW.US,D,20241030,000000,17.645,17.645,17.645,17.645,2,0
LFAW.US,D,20241031,000000,17.6514,17.6514,17.6514,17.6514,2,0
LFAW.US,D,20241104,000000,17.5814,17.5814,17.5814,17.5814,1,0
LFAW.US,D,20241105,000000,17.6318,17.6318,17.6318,17.6318,2,0
LFAW.US,D,20241106,000000,17.2957,17.2957,17.2957,17.2957,6,0
LFAW.US,D,20241107,000000,17.4725,17.4725,17.4725,17.4725,3,0
LFAW.US,D,20241108,000000,17.6116,17.6116,17.6116,17.6116,3,0
LFAW.US,D,20241115,000000,17.24,17.3033,17.24,17.3033,800,0
LFAW.US,D,20241121,000000,17.34,17.34,17.327,17.327,1600,0
LFAW.US,D,20241203,000000,17.75,17.75,17.7,17.7,1100,0
LFAW.US,D,20241205,000000,17.86,17.86,17.86,17.86,100,0
LFAW.US,D,20241209,000000,17.78,17.78,17.78,17.78,100,0
LFAW.US,D,20241210,000000,17.71,17.71,17.71,17.71,100,0
LFAW.US,D,20241211,000000,17.6,17.6,17.6,17.6,100,0
LFAW.US,D,20241212,000000,17.45,17.45,17.45,17.45,100,0
LFAW.US,D,20241226,000000,16.97,17.0087,16.97,17.0087,102,0
LFAW.US,D,20241231,000000,17,17,16.9729,16.9729,5500,0
