<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LFAX.US,D,20241016,000000,18.4709,18.4709,18.4709,18.4709,1,0
LFAX.US,D,20241021,000000,18.0483,18.0483,18.0483,18.0483,1,0
LFAX.US,D,20241022,000000,18.055,18.055,18.055,18.055,1,0
LFAX.US,D,20241023,000000,18.0012,18.0012,18.0012,18.0012,1,0
LFAX.US,D,20241024,000000,18.09,18.09,18.09,18.09,1,0
LFAX.US,D,20241025,000000,18.0052,18.0052,18.0052,18.0052,1,0
LFAX.US,D,20241028,000000,17.9654,17.9654,17.9654,17.9654,1,0
LFAX.US,D,20241029,000000,17.975,17.975,17.975,17.975,1,0
LFAX.US,D,20241030,000000,18.0058,18.0058,18.0058,18.0058,1,0
LFAX.US,D,20241031,000000,18.0129,18.0129,18.0129,18.0129,1,0
LFAX.US,D,20241104,000000,17.945,17.945,17.945,17.945,1,0
LFAX.US,D,20241105,000000,18.0001,18.0001,18.0001,18.0001,1,0
LFAX.US,D,20241106,000000,17.648,17.648,17.648,17.648,1,0
LFAX.US,D,20241107,000000,17.8264,17.8264,17.8264,17.8264,1,0
LFAX.US,D,20241108,000000,17.9767,17.9767,17.9767,17.9767,1,0
LFAX.US,D,20241202,000000,18.17,18.2433,18.17,18.2433,2000,0
LFAX.US,D,20241231,000000,17.33,17.33,17.3039,17.3039,100,0
