<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LFAZ.US,D,20240925,000000,19.35,19.35,19.2927,19.2927,2200,0
LFAZ.US,D,20240930,000000,19.41,19.41,19.3308,19.3308,7083,0
LFAZ.US,D,20241017,000000,18.6099,18.6099,18.6099,18.6099,1,0
LFAZ.US,D,20241022,000000,18.37,18.37,18.37,18.37,1,0
LFAZ.US,D,20241023,000000,18.3168,18.3168,18.3168,18.3168,1,0
LFAZ.US,D,20241024,000000,18.41,18.41,18.41,18.41,1,0
LFAZ.US,D,20241025,000000,18.3217,18.3217,18.3217,18.3217,1,0
LFAZ.US,D,20241028,000000,18.2826,18.2826,18.2826,18.2826,1,0
LFAZ.US,D,20241029,000000,18.2914,18.2914,18.2914,18.2914,1,0
LFAZ.US,D,20241030,000000,18.3258,18.3258,18.3258,18.3258,1,0
LFAZ.US,D,20241031,000000,18.3348,18.3348,18.3348,18.3348,1,0
LFAZ.US,D,20241104,000000,18.2661,18.2661,18.2661,18.2661,1,0
LFAZ.US,D,20241105,000000,18.3251,18.3251,18.3251,18.3251,1,0
LFAZ.US,D,20241106,000000,17.96,17.96,17.96,17.96,1,0
LFAZ.US,D,20241107,000000,18.1427,18.1427,18.1427,18.1427,1,0
LFAZ.US,D,20241108,000000,18.2989,18.2989,18.2989,18.2989,1,0
LFAZ.US,D,20241203,000000,18.45,18.45,18.4,18.4,900,0
LFAZ.US,D,20241205,000000,18.58,18.58,18.58,18.58,100,0
LFAZ.US,D,20241209,000000,18.49,18.49,18.49,18.49,100,0
LFAZ.US,D,20241210,000000,18.41,18.41,18.41,18.41,108,0
LFAZ.US,D,20241231,000000,17.6,17.61,17.6,17.6003,3201,0
LFAZ.US,D,20250103,000000,17.56,17.56,17.4801,17.4801,101,0
LFAZ.US,D,20250108,000000,17.16,17.2915,17.16,17.2915,107,0
