<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LFBB.US,D,20240930,000000,19.74,19.74,19.6807,19.6807,3701,0
LFBB.US,D,20241010,000000,18.9,18.965,18.9,18.965,200,0
LFBB.US,D,20241016,000000,19.1501,19.1501,19.1501,19.1501,1,0
LFBB.US,D,20241021,000000,18.78,18.78,18.6784,18.6784,101,0
LFBB.US,D,20241022,000000,18.6899,18.6899,18.6899,18.6899,1,0
LFBB.US,D,20241023,000000,18.6316,18.6316,18.6316,18.6316,1,0
LFBB.US,D,20241024,000000,18.7299,18.7299,18.7299,18.7299,1,0
LFBB.US,D,20241025,000000,18.6362,18.6362,18.6362,18.6362,1,0
LFBB.US,D,20241028,000000,18.6,18.6,18.6,18.6,1,0
LFBB.US,D,20241029,000000,18.6079,18.6079,18.6079,18.6079,1,0
LFBB.US,D,20241030,000000,18.6471,18.6471,18.6471,18.6471,1,0
LFBB.US,D,20241031,000000,18.72,18.72,18.6572,18.6572,3700,0
LFBB.US,D,20241104,000000,18.59,18.59,18.59,18.59,1,0
LFBB.US,D,20241105,000000,18.6518,18.6518,18.6518,18.6518,1,0
LFBB.US,D,20241106,000000,18.2711,18.2711,18.2711,18.2711,1,0
LFBB.US,D,20241107,000000,18.4575,18.4575,18.4575,18.4575,1,0
LFBB.US,D,20241108,000000,18.6259,18.6259,18.6259,18.6259,1,0
LFBB.US,D,20241114,000000,18.35,18.35,18.2976,18.2976,2600,0
LFBB.US,D,20241121,000000,18.3,18.3,18.29,18.2943,6000,0
LFBB.US,D,20241127,000000,18.77,18.77,18.7102,18.7102,1900,0
LFBB.US,D,20241203,000000,18.79,18.79,18.74,18.74,1100,0
LFBB.US,D,20241205,000000,18.92,18.92,18.92,18.92,100,0
LFBB.US,D,20241209,000000,18.82,18.82,18.82,18.82,101,0
LFBB.US,D,20241210,000000,18.74,18.74,18.74,18.74,104,0
LFBB.US,D,20241211,000000,18.61,18.61,18.61,18.61,100,0
LFBB.US,D,20241212,000000,18.44,18.44,18.44,18.44,100,0
LFBB.US,D,20250108,000000,17.58,17.58,17.5755,17.5755,1950,0
