<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LFGY.US,D,20250117,000000,54.55,55.11,54.03,54.4169,81801,0
LFGY.US,D,20250121,000000,54.84,55,53.1801,54.34,139354,0
LFGY.US,D,20250122,000000,53.95,54.5792,53.0771,54.16,253284,0
LFGY.US,D,20250123,000000,52.79,54.5099,52.65,53.29,135662,0
LFGY.US,D,20250124,000000,53.726,54.56,53.1001,53.96,120098,0
LFGY.US,D,20250127,000000,51.295,52.0159,47.2001,48.7385,274223,0
LFGY.US,D,20250128,000000,49.1697,49.49,48.38,48.9141,90371,0
LFGY.US,D,20250129,000000,49.59,50.49,48.545,49.6804,112480,0
LFGY.US,D,20250130,000000,49.59,50.66,49.59,50.35,79634,0
LFGY.US,D,20250131,000000,50.71,50.92,49.3501,49.61,106226,0
LFGY.US,D,20250203,000000,47.0366,49.86,47.0366,49.66,162375,0
LFGY.US,D,20250204,000000,49.45,50.1545,49.45,49.72,70281,0
LFGY.US,D,20250205,000000,50.05,50.548,49.1657,49.25,123085,0
LFGY.US,D,20250206,000000,49,49.45,47.9121,48.35,68666,0
LFGY.US,D,20250207,000000,48.97,50.209,48.5,48.75,115018,0
LFGY.US,D,20250210,000000,49.1001,49.68,49.0741,49.49,109660,0
LFGY.US,D,20250211,000000,49.42,49.425,48.0001,48.02,94744,0
