<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LIAB.US,D,20240917,000000,16.5644,16.5644,16.5644,16.5644,1100,0
LIAB.US,D,20240920,000000,16.46,16.4899,16.46,16.4899,303,0
LIAB.US,D,20240923,000000,16.4899,16.4899,16.4899,16.4899,20,0
LIAB.US,D,20240930,000000,16.48,16.48,16.4657,16.4657,7050,0
LIAB.US,D,20241003,000000,16.3293,16.3293,16.3293,16.3293,2,0
LIAB.US,D,20241007,000000,16.16,16.16,16.16,16.16,6,0
LIAB.US,D,20241010,000000,16.15,16.1801,16.15,16.1801,300,0
LIAB.US,D,20241011,000000,16.19,16.19,16.1699,16.1699,112,0
LIAB.US,D,20241015,000000,16.1971,16.1971,16.1971,16.1971,2,0
LIAB.US,D,20241024,000000,16,16,16,16,7,0
LIAB.US,D,20241028,000000,15.8929,15.8929,15.8929,15.8929,36,0
LIAB.US,D,20241029,000000,15.9196,15.9196,15.9196,15.9196,17,0
LIAB.US,D,20241030,000000,15.9801,15.9801,15.9801,15.9801,17,0
LIAB.US,D,20241031,000000,15.9385,15.9385,15.9385,15.9385,17,0
LIAB.US,D,20241104,000000,15.8101,15.8101,15.8101,15.8101,2,0
LIAB.US,D,20241105,000000,15.8401,15.8401,15.8401,15.8401,2,0
LIAB.US,D,20241106,000000,15.7699,15.7699,15.7699,15.7699,17,0
LIAB.US,D,20241107,000000,15.8317,15.8317,15.8317,15.8317,17,0
LIAB.US,D,20241108,000000,15.9239,15.9239,15.9239,15.9239,17,0
LIAB.US,D,20241122,000000,15.73,15.73,15.7271,15.7271,171,0
LIAB.US,D,20241127,000000,15.87,15.87,15.8592,15.8592,106,0
LIAB.US,D,20241203,000000,15.87,15.87,15.84,15.84,300,0
LIAB.US,D,20241205,000000,15.89,15.89,15.89,15.89,127,0
LIAB.US,D,20241226,000000,15.4433,15.465,15.4433,15.4601,1560,0
LIAB.US,D,20241230,000000,15.44,15.449,15.4373,15.445,6630,0
LIAB.US,D,20241231,000000,15.46,15.46,15.4185,15.4185,200,0
LIAB.US,D,20250102,000000,15.46,15.46,15.43,15.435,405,0
LIAB.US,D,20250103,000000,15.32,15.32,15.295,15.295,140,0
LIAB.US,D,20250106,000000,15.28,15.2816,15.28,15.2816,103,0
LIAB.US,D,20250107,000000,15.23,15.2436,15.23,15.2436,109,0
LIAB.US,D,20250108,000000,15.26,15.28,15.26,15.28,308,0
LIAB.US,D,20250110,000000,15.23,15.23,15.23,15.23,109,0
