<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LIAC.US,D,20240920,000000,17.36,17.36,17.36,17.36,94,0
LIAC.US,D,20240923,000000,17.3699,17.3699,17.3699,17.3699,94,0
LIAC.US,D,20240924,000000,17.405,17.405,17.405,17.405,94,0
LIAC.US,D,20240925,000000,17.3098,17.3098,17.3098,17.3098,94,0
LIAC.US,D,20240926,000000,17.2997,17.2997,17.2997,17.2997,94,0
LIAC.US,D,20240927,000000,17.3402,17.3402,17.3402,17.3402,94,0
LIAC.US,D,20241001,000000,17.4201,17.4201,17.4201,17.4201,94,0
LIAC.US,D,20241002,000000,17.2917,17.2917,17.2917,17.2917,94,0
LIAC.US,D,20241003,000000,17.28,17.28,17.1946,17.1946,520,0
LIAC.US,D,20241004,000000,17.05,17.05,17.05,17.05,94,0
LIAC.US,D,20241007,000000,17.0102,17.0102,17.0102,17.0102,94,0
LIAC.US,D,20241008,000000,17.0565,17.0565,17.0565,17.0565,94,0
LIAC.US,D,20241009,000000,17.0149,17.0149,17.0149,17.0149,94,0
LIAC.US,D,20241010,000000,16.995,16.995,16.995,16.995,94,0
LIAC.US,D,20241011,000000,17,17.0308,17,17.0308,100,0
LIAC.US,D,20241014,000000,17.0108,17.0108,17.0108,17.0108,94,0
LIAC.US,D,20241015,000000,17.0566,17.0566,17.0566,17.0566,94,0
LIAC.US,D,20241016,000000,17.0602,17.0602,17.0602,17.0602,94,0
LIAC.US,D,20241017,000000,16.9899,16.9899,16.9899,16.9899,94,0
LIAC.US,D,20241018,000000,17.0247,17.0247,17.0247,17.0247,94,0
LIAC.US,D,20241021,000000,16.8364,16.8364,16.8364,16.8364,94,0
LIAC.US,D,20241022,000000,16.8701,16.8701,16.8701,16.8701,94,0
LIAC.US,D,20241023,000000,16.8021,16.8021,16.8021,16.8021,94,0
LIAC.US,D,20241024,000000,16.8498,16.8498,16.8498,16.8498,94,0
LIAC.US,D,20241025,000000,16.7839,16.7839,16.7839,16.7839,94,0
LIAC.US,D,20241028,000000,16.7308,16.7308,16.7308,16.7308,94,0
LIAC.US,D,20241029,000000,16.7596,16.7596,16.7596,16.7596,94,0
LIAC.US,D,20241030,000000,16.8301,16.8301,16.8301,16.8301,94,0
LIAC.US,D,20241031,000000,16.7811,16.7811,16.7811,16.7811,94,0
LIAC.US,D,20241104,000000,16.6462,16.6462,16.6462,16.6462,94,0
LIAC.US,D,20241105,000000,16.6801,16.6801,16.6801,16.6801,94,0
LIAC.US,D,20241106,000000,16.5999,16.5999,16.5999,16.5999,94,0
LIAC.US,D,20241107,000000,16.6674,16.6674,16.6674,16.6674,94,0
LIAC.US,D,20241108,000000,16.7701,16.7701,16.7701,16.7701,94,0
LIAC.US,D,20241111,000000,16.76,16.76,16.7329,16.7346,5625,0
LIAC.US,D,20241113,000000,16.61,16.61,16.4984,16.4984,100,0
LIAC.US,D,20241118,000000,16.56,16.56,16.5301,16.5301,100,0
LIAC.US,D,20241203,000000,16.72,16.72,16.6999,16.6999,400,0
LIAC.US,D,20241205,000000,16.74,16.75,16.74,16.75,1550,0
LIAC.US,D,20241226,000000,16.22,16.26,16.2189,16.26,1650,0
LIAC.US,D,20241230,000000,16.28,16.29,16.2429,16.2429,5325,0
LIAC.US,D,20241231,000000,16.23,16.23,16.2197,16.2197,275,0
LIAC.US,D,20250106,000000,16.09,16.09,16.0726,16.0726,275,0
