<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LIAE.US,D,20241009,000000,17.86,17.86,17.86,17.86,3,0
LIAE.US,D,20241015,000000,17.8937,17.8937,17.8937,17.8937,3,0
LIAE.US,D,20241016,000000,17.9002,17.9002,17.9002,17.9002,3,0
LIAE.US,D,20241017,000000,17.815,17.815,17.815,17.815,3,0
LIAE.US,D,20241018,000000,17.855,17.855,17.855,17.855,3,0
LIAE.US,D,20241021,000000,17.655,17.655,17.655,17.655,3,0
LIAE.US,D,20241022,000000,17.6901,17.6901,17.6901,17.6901,3,0
LIAE.US,D,20241023,000000,17.62,17.62,17.62,17.62,3,0
LIAE.US,D,20241024,000000,17.6698,17.6698,17.6698,17.6698,3,0
LIAE.US,D,20241025,000000,17.5999,17.5999,17.5999,17.5999,3,0
LIAE.US,D,20241028,000000,17.5416,17.5416,17.5416,17.5416,3,0
LIAE.US,D,20241029,000000,17.5731,17.5731,17.5731,17.5731,3,0
LIAE.US,D,20241030,000000,17.6499,17.6499,17.6499,17.6499,3,0
LIAE.US,D,20241031,000000,17.5989,17.5989,17.5989,17.5989,3,0
LIAE.US,D,20241104,000000,17.46,17.46,17.46,17.46,3,0
LIAE.US,D,20241105,000000,17.5001,17.5001,17.5001,17.5001,3,0
LIAE.US,D,20241106,000000,17.4018,17.4018,17.4018,17.4018,3,0
LIAE.US,D,20241107,000000,17.4777,17.4777,17.4777,17.4777,3,0
LIAE.US,D,20241108,000000,17.592,17.592,17.592,17.592,3,0
LIAE.US,D,20241224,000000,16.96,17.03,16.96,17.03,100,0
LIAE.US,D,20241227,000000,16.97,16.97,16.9698,16.9698,100,0
LIAE.US,D,20250110,000000,16.84,16.84,16.84,16.84,1000,0
