<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LIAG.US,D,20240926,000000,19.835,19.835,19.835,19.835,2,0
LIAG.US,D,20240927,000000,19.8781,19.8781,19.8781,19.8781,2,0
LIAG.US,D,20241001,000000,19.9915,19.9915,19.9915,19.9915,2,0
LIAG.US,D,20241002,000000,19.8527,19.8527,19.8527,19.8527,2,0
LIAG.US,D,20241003,000000,19.7249,19.7249,19.7249,19.7249,2,0
LIAG.US,D,20241004,000000,19.55,19.55,19.55,19.55,2,0
LIAG.US,D,20241007,000000,19.5051,19.5051,19.5051,19.5051,2,0
LIAG.US,D,20241008,000000,19.5569,19.5569,19.5569,19.5569,2,0
LIAG.US,D,20241009,000000,19.52,19.52,19.52,19.52,2,0
LIAG.US,D,20241010,000000,19.5302,19.5302,19.5302,19.5302,2,0
LIAG.US,D,20241011,000000,19.5125,19.5125,19.5125,19.5125,2,0
LIAG.US,D,20241014,000000,19.4904,19.4904,19.4904,19.4904,2,0
LIAG.US,D,20241015,000000,19.5511,19.5511,19.5511,19.5511,2,0
LIAG.US,D,20241016,000000,19.5602,19.5602,19.5602,19.5602,2,0
LIAG.US,D,20241017,000000,19.46,19.46,19.46,19.46,2,0
LIAG.US,D,20241018,000000,19.504,19.504,19.504,19.504,2,0
LIAG.US,D,20241021,000000,19.2676,19.2676,19.2676,19.2676,2,0
LIAG.US,D,20241022,000000,19.3135,19.3135,19.3135,19.3135,2,0
LIAG.US,D,20241023,000000,19.2269,19.2269,19.2269,19.2269,2,0
LIAG.US,D,20241024,000000,19.2848,19.2848,19.2848,19.2848,2,0
LIAG.US,D,20241025,000000,19.1957,19.1957,19.1957,19.1957,2,0
LIAG.US,D,20241028,000000,19.1432,19.1432,19.1432,19.1432,2,0
LIAG.US,D,20241029,000000,19.1776,19.1776,19.1776,19.1776,2,0
LIAG.US,D,20241030,000000,19.2751,19.2751,19.2751,19.2751,2,0
LIAG.US,D,20241031,000000,19.2091,19.2091,19.2091,19.2091,2,0
LIAG.US,D,20241104,000000,19.0651,19.0651,19.0651,19.0651,2,0
LIAG.US,D,20241105,000000,19.1116,19.1116,19.1116,19.1116,2,0
LIAG.US,D,20241106,000000,18.9906,18.9906,18.9906,18.9906,2,0
LIAG.US,D,20241107,000000,19.0784,19.0784,19.0784,19.0784,2,0
LIAG.US,D,20241108,000000,19.217,19.217,19.217,19.217,2,0
