<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LIAK.US,D,20240911,000000,21.51,21.51,21.4945,21.4945,100,0
LIAK.US,D,20240912,000000,21.47,21.4743,21.47,21.4743,4000,0
LIAK.US,D,20240913,000000,21.6,21.6,21.55,21.55,24500,0
LIAK.US,D,20240917,000000,21.74,21.74,21.6766,21.6766,2000,0
LIAK.US,D,20240920,000000,21.54,21.54,21.5248,21.5248,2200,0
LIAK.US,D,20240925,000000,21.51,21.51,21.4475,21.4475,3700,0
LIAK.US,D,20240927,000000,21.53,21.53,21.4893,21.4893,3000,0
LIAK.US,D,20240930,000000,21.56,21.5699,21.506,21.506,4210,0
LIAK.US,D,20241001,000000,21.71,21.71,21.6351,21.6351,7000,0
LIAK.US,D,20241002,000000,21.41,21.4823,21.41,21.4823,2300,0
LIAK.US,D,20241003,000000,21.4499,21.4499,21.3358,21.3358,541,0
LIAK.US,D,20241004,000000,21.145,21.145,21.145,21.145,1,0
LIAK.US,D,20241007,000000,21.14,21.14,21.0852,21.0852,690,0
LIAK.US,D,20241008,000000,21.058,21.1461,21.058,21.1461,291,0
LIAK.US,D,20241009,000000,21.105,21.105,21.105,21.105,1,0
LIAK.US,D,20241010,000000,21.1102,21.1102,21.1102,21.1102,1,0
LIAK.US,D,20241011,000000,21.15,21.15,21.0848,21.0848,830,0
LIAK.US,D,20241014,000000,21.0581,21.0581,21.0581,21.0581,1,0
LIAK.US,D,20241015,000000,21.15,21.19,21.15,21.16,959,0
LIAK.US,D,20241016,000000,21.18,21.18,21.1502,21.1502,4825,0
LIAK.US,D,20241017,000000,21.02,21.0251,21.02,21.0251,100,0
LIAK.US,D,20241018,000000,21.09,21.09,21.08,21.08,100,0
LIAK.US,D,20241021,000000,20.9,20.9,20.8022,20.8022,100,0
LIAK.US,D,20241022,000000,20.85,20.85,20.85,20.85,1,0
LIAK.US,D,20241023,000000,20.7614,20.7614,20.7614,20.7614,1,0
LIAK.US,D,20241024,000000,20.8249,20.8249,20.8249,20.8249,1,0
LIAK.US,D,20241025,000000,20.7291,20.7291,20.7291,20.7291,40,0
LIAK.US,D,20241028,000000,20.6681,20.6681,20.6681,20.6681,1,0
LIAK.US,D,20241029,000000,20.7027,20.7027,20.7027,20.7027,1,0
LIAK.US,D,20241030,000000,20.8186,20.8186,20.8186,20.8186,1,0
LIAK.US,D,20241031,000000,20.7494,20.7494,20.7494,20.7494,1,0
LIAK.US,D,20241104,000000,20.595,20.595,20.595,20.595,1,0
LIAK.US,D,20241105,000000,20.55,20.6482,20.54,20.6482,12721,0
LIAK.US,D,20241106,000000,20.5066,20.5066,20.5066,20.5066,1,0
LIAK.US,D,20241107,000000,20.6007,20.6007,20.6007,20.6007,1,0
LIAK.US,D,20241108,000000,20.7625,20.7625,20.7625,20.7625,80,0
LIAK.US,D,20241111,000000,20.68,20.7066,20.68,20.7066,650,0
LIAK.US,D,20241203,000000,20.74,20.74,20.6751,20.6751,915,0
LIAK.US,D,20241209,000000,20.71,20.719,20.6852,20.6852,1500,0
LIAK.US,D,20241212,000000,20.51,20.51,20.4502,20.4502,100,0
LIAK.US,D,20241218,000000,20.26,20.26,20.1457,20.1457,125,0
LIAK.US,D,20241224,000000,19.96,20.0275,19.95,20.0275,1180,0
LIAK.US,D,20241230,000000,20.01,20.01,20.0012,20.0012,601,0
LIAK.US,D,20241231,000000,19.9717,21.9599,19.9598,19.9598,768,0
LIAK.US,D,20250106,000000,19.76,19.7751,19.76,19.7751,124,0
