<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LIAO.US,D,20241008,000000,22.62,22.7607,22.61,22.7607,14200,0
LIAO.US,D,20241010,000000,22.6796,22.6796,22.6796,22.6796,10,0
LIAO.US,D,20241016,000000,22.7257,22.7257,22.7257,22.7257,10,0
LIAO.US,D,20241017,000000,22.5901,22.5901,22.5901,22.5901,10,0
LIAO.US,D,20241018,000000,22.6543,22.6543,22.6543,22.6543,10,0
LIAO.US,D,20241021,000000,22.3366,22.3366,22.3366,22.3366,10,0
LIAO.US,D,20241022,000000,22.3937,22.3937,22.3937,22.3937,10,0
LIAO.US,D,20241023,000000,22.3021,22.3021,22.3021,22.3021,10,0
LIAO.US,D,20241024,000000,22.3834,22.3834,22.3834,22.3834,10,0
LIAO.US,D,20241025,000000,22.2745,22.2745,22.2745,22.2745,10,0
LIAO.US,D,20241028,000000,22.2216,22.2216,22.2216,22.2216,10,0
LIAO.US,D,20241029,000000,22.2584,22.2584,22.2584,22.2584,10,0
LIAO.US,D,20241030,000000,22.3901,22.3901,22.3901,22.3901,10,0
LIAO.US,D,20241031,000000,22.3163,22.3163,22.3163,22.3163,10,0
LIAO.US,D,20241104,000000,22.18,22.18,22.18,22.18,10,0
LIAO.US,D,20241105,000000,22.2518,22.2518,22.2518,22.2518,10,0
LIAO.US,D,20241106,000000,22.0507,22.0507,22.0507,22.0507,10,0
LIAO.US,D,20241107,000000,22.1462,22.1462,22.1462,22.1462,10,0
LIAO.US,D,20241108,000000,22.3602,22.3602,22.3602,22.3602,10,0
LIAO.US,D,20250107,000000,21.22,21.22,21.13,21.1532,8423,0
