<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LIAP.US,D,20240926,000000,23.75,23.8202,23.75,23.8202,2900,0
LIAP.US,D,20240927,000000,23.94,23.94,23.8783,23.8783,6000,0
LIAP.US,D,20240930,000000,23.96,23.96,23.903,23.903,4300,0
LIAP.US,D,20241118,000000,22.5,22.6151,22.5,22.6151,500,0
LIAP.US,D,20241119,000000,22.7,22.7,22.6761,22.6761,500,0
LIAP.US,D,20241203,000000,22.98,23.01,22.955,22.955,1404,0
LIAP.US,D,20241204,000000,23.05,23.1147,23.05,23.1147,1600,0
LIAP.US,D,20241206,000000,23.1,23.1,23.0783,23.0783,2500,0
LIAP.US,D,20241209,000000,22.95,22.95,22.95,22.95,100,0
LIAP.US,D,20241212,000000,22.76,22.76,22.65,22.65,2700,0
LIAP.US,D,20241213,000000,22.56,22.56,22.55,22.5537,3601,0
LIAP.US,D,20241219,000000,22.11,22.25,22.1,22.1023,2906,0
LIAP.US,D,20250103,000000,21.92,21.92,21.895,21.895,1201,0
LIAP.US,D,20250106,000000,21.87,21.87,21.8677,21.8677,1201,0
