<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LIAQ.US,D,20241122,000000,23.4,23.4,23.3648,23.3648,1000,0
LIAQ.US,D,20241203,000000,23.76,23.77,23.705,23.705,400,0
LIAQ.US,D,20241212,000000,23.46,23.469,23.3952,23.3952,3000,0
LIAQ.US,D,20241213,000000,23.34,23.34,23.26,23.2652,3500,0
LIAQ.US,D,20241216,000000,23.27,23.27,23.252,23.252,200,0
LIAQ.US,D,20241217,000000,23.27,23.28,23.2318,23.2318,200,0
LIAQ.US,D,20241218,000000,23.15,23.15,23.0307,23.0307,200,0
LIAQ.US,D,20241219,000000,22.76,22.8041,22.76,22.8041,1500,0
LIAQ.US,D,20241224,000000,22.77,22.8825,22.77,22.8825,300,0
LIAQ.US,D,20241226,000000,22.87,22.87,22.87,22.87,1700,0
LIAQ.US,D,20241230,000000,22.85,22.85,22.8219,22.8219,200,0
