<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LODI.US,D,20241209,000000,25.12,25.23,25.115,25.115,2617,0
LODI.US,D,20241210,000000,25.1,25.1032,25.1,25.1032,7002,0
LODI.US,D,20241211,000000,25.11,25.17,25.105,25.105,1808,0
LODI.US,D,20241216,000000,25.1208,25.1208,25.12,25.12,1141,0
LODI.US,D,20241217,000000,25.12,25.12,25.1131,25.1131,1085,0
LODI.US,D,20241218,000000,25.0807,25.0807,25.075,25.0785,1103,0
LODI.US,D,20241219,000000,25.06,25.07,25.06,25.06,1021,0
LODI.US,D,20241223,000000,25.12,25.18,25.11,25.11,6000,0
LODI.US,D,20241224,000000,25.1193,25.1193,25.115,25.115,200,0
LODI.US,D,20241226,000000,25.13,25.15,25.13,25.13,1001,0
LODI.US,D,20241231,000000,25.08,25.08,25.0659,25.0659,300,0
LODI.US,D,20250102,000000,25.01,25.02,25.01,25.02,164,0
LODI.US,D,20250103,000000,25.01,25.0152,25.01,25.0152,113,0
LODI.US,D,20250106,000000,25.04,25.04,25.03,25.04,879,0
LODI.US,D,20250107,000000,25.03,25.03,25.02,25.02,1733,0
LODI.US,D,20250108,000000,25.03,25.04,25.0252,25.0252,1200,0
