<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LST.US,D,20250123,000000,35.32,35.55,35.32,35.5198,1221,0
LST.US,D,20250124,000000,35.55,35.599,35.41,35.4929,2592,0
LST.US,D,20250127,000000,35.32,35.32,35.18,35.2918,16002,0
LST.US,D,20250128,000000,35.35,35.4652,35.33,35.4652,3001,0
LST.US,D,20250129,000000,35.6147,35.6147,35.4,35.5155,14511,0
LST.US,D,20250130,000000,35.77,35.9336,35.77,35.9336,181,0
LST.US,D,20250203,000000,35.015,35.372,35.015,35.372,724,0
LST.US,D,20250205,000000,35.6132,36.06,35.6132,36.06,54565,0
LST.US,D,20250206,000000,35.9,35.95,35.71,35.8759,11177,0
LST.US,D,20250207,000000,35.95,35.95,35.57,35.57,3101,0
LST.US,D,20250210,000000,35.57,35.66,35.5503,35.5503,11606,0
LST.US,D,20250211,000000,35.39,35.448,35.39,35.448,778,0
