<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSLC.US,D,20241211,000000,49.65,49.99,49.55,49.8999,294972,0
MSLC.US,D,20241212,000000,49.7174,49.82,49.613,49.613,83007,0
MSLC.US,D,20241213,000000,49.65,49.8,49.42,49.53,67906,0
MSLC.US,D,20241216,000000,49.7002,49.83,49.48,49.7011,81452,0
MSLC.US,D,20241217,000000,49.44,49.5561,49.3611,49.44,71732,0
MSLC.US,D,20241218,000000,49.4427,49.6,48.1007,48.102,90467,0
MSLC.US,D,20241219,000000,48.36,48.499,47.9736,48.0036,119543,0
MSLC.US,D,20241220,000000,47.7415,48.83,47.63,48.41,96767,0
MSLC.US,D,20241223,000000,48.21,48.74,48.21,48.7321,95606,0
MSLC.US,D,20241224,000000,48.81,49.1713,48.66,49.1713,70441,0
MSLC.US,D,20241226,000000,49.0893,49.3,48.93,49.248,65245,0
MSLC.US,D,20241227,000000,48.86,48.905,48.442,48.7033,85375,0
MSLC.US,D,20241230,000000,48.05,48.45,47.92,48.3107,105928,0
MSLC.US,D,20241231,000000,48.38,48.38,47.96,48.03,80616,0
MSLC.US,D,20250102,000000,48.307,48.485,47.75,47.9515,130673,0
MSLC.US,D,20250103,000000,48.3429,48.635,48.11,48.5489,108861,0
MSLC.US,D,20250106,000000,48.9704,49.162,48.67,48.755,81127,0
MSLC.US,D,20250107,000000,48.934,48.934,48.18,48.3039,82218,0
MSLC.US,D,20250108,000000,48.1606,48.468,48.07,48.3879,118341,0
MSLC.US,D,20250110,000000,48.04,48.1038,47.53,47.65,120326,0
