<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSSM.US,D,20241211,000000,50,50,49.45,49.7155,80568,0
MSSM.US,D,20241212,000000,49.71,49.72,49.3361,49.3361,37406,0
MSSM.US,D,20241213,000000,49.33,49.33,48.77,48.9821,19433,0
MSSM.US,D,20241216,000000,49.25,49.3,48.68,49.177,37736,0
MSSM.US,D,20241217,000000,48.8469,48.8469,48.52,48.6215,18961,0
MSSM.US,D,20241218,000000,48.806,48.82,46.7723,46.8783,21869,0
MSSM.US,D,20241219,000000,47.1917,47.1917,46.5916,46.6982,28289,0
MSSM.US,D,20241220,000000,46.6786,47.4436,46.11,47.035,26158,0
MSSM.US,D,20241223,000000,46.7784,47.08,46.6416,47.07,24887,0
MSSM.US,D,20241224,000000,47.232,47.46,46.66,47.46,19299,0
MSSM.US,D,20241226,000000,47.2708,47.7641,47.2708,47.7641,18826,0
MSSM.US,D,20241227,000000,47.3,47.31,46.8357,47.1002,228520,0
MSSM.US,D,20241230,000000,46.3805,46.965,46.36,46.8674,32455,0
MSSM.US,D,20241231,000000,47.0426,47.1464,46.43,46.8773,22992,0
MSSM.US,D,20250102,000000,47.42,47.42,46.74,46.9032,28961,0
MSSM.US,D,20250103,000000,46.9064,47.68,46.88,47.6653,79788,0
MSSM.US,D,20250106,000000,47.7815,48.27,47.39,47.7313,25432,0
MSSM.US,D,20250107,000000,47.7,47.71,47.1,47.3464,17839,0
MSSM.US,D,20250108,000000,46.875,47.22,46.8002,47.2091,27119,0
MSSM.US,D,20250110,000000,46.45,46.45,46.35,46.45,25379,0
