<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NCLO.US,D,20241217,000000,25.0639,25.0854,25.06,25.07,400979,0
NCLO.US,D,20241218,000000,24.98,24.985,24.98,24.985,101003,0
NCLO.US,D,20241219,000000,24.97,24.985,24.97,24.985,100238,0
NCLO.US,D,20241220,000000,25,25.01,25,25.005,805,0
NCLO.US,D,20241223,000000,25,25.02,25,25.005,3334,0
NCLO.US,D,20241224,000000,25.01,25.02,25.01,25.02,104,0
NCLO.US,D,20241226,000000,25.02,25.0311,25.02,25.03,385,0
NCLO.US,D,20241227,000000,25.03,25.11,25.03,25.045,1549,0
NCLO.US,D,20241230,000000,25.03,25.0587,25.03,25.045,400416,0
NCLO.US,D,20241231,000000,25.0506,25.0506,25.05,25.05,200,0
NCLO.US,D,20250102,000000,25.061,25.07,25.06,25.06,1103,0
NCLO.US,D,20250103,000000,25.06,25.07,25.06,25.06,3756,0
NCLO.US,D,20250106,000000,25.0796,25.0796,25.05,25.065,2701,0
NCLO.US,D,20250107,000000,25.0394,25.05,25.0394,25.05,1534,0
NCLO.US,D,20250108,000000,25.05,25.06,25.05,25.0583,7521,0
NCLO.US,D,20250110,000000,25.0602,25.0602,25.06,25.06,1231,0
