<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOVM.US,D,20241119,000000,30.4793,30.5595,30.44,30.53,69181,0
NOVM.US,D,20241120,000000,30.495,30.5208,30.44,30.5115,170920,0
NOVM.US,D,20241121,000000,32.27,32.28,30.48,30.5353,26049,0
NOVM.US,D,20241122,000000,30.58,30.5885,30.5357,30.5578,22756,0
NOVM.US,D,20241125,000000,30.6,30.66,30.54,30.6,37822,0
NOVM.US,D,20241126,000000,30.5989,30.6392,30.595,30.6099,33123,0
NOVM.US,D,20241127,000000,30.66,30.66,30.58,30.6107,36199,0
NOVM.US,D,20241129,000000,30.64,30.69,30.64,30.675,21476,0
NOVM.US,D,20241202,000000,30.64,30.71,30.62,30.71,49953,0
NOVM.US,D,20241203,000000,30.69,30.72,30.63,30.71,43748,0
NOVM.US,D,20241204,000000,30.72,30.74,30.65,30.7099,9208,0
NOVM.US,D,20241205,000000,30.724,30.73,30.67,30.7061,2609,0
NOVM.US,D,20241206,000000,30.7394,30.78,30.72,30.75,7076,0
NOVM.US,D,20241209,000000,30.75,30.79,30.7,30.7,11877,0
NOVM.US,D,20241210,000000,30.7101,30.7298,30.66,30.6801,10605,0
NOVM.US,D,20241211,000000,30.75,30.7691,30.7299,30.7299,19281,0
NOVM.US,D,20241212,000000,30.69,30.75,30.69,30.7049,14878,0
NOVM.US,D,20241213,000000,30.7394,30.7394,30.68,30.72,12060,0
NOVM.US,D,20241216,000000,30.74,30.77,30.7275,30.77,9813,0
NOVM.US,D,20241217,000000,30.74,31.02,30.68,30.68,14959,0
NOVM.US,D,20241218,000000,30.6926,30.725,30.58,30.59,6700,0
NOVM.US,D,20241219,000000,30.75,30.75,30.52,30.52,29640,0
NOVM.US,D,20241220,000000,30.6378,30.705,30.6,30.626,23862,0
NOVM.US,D,20241223,000000,30.58,30.75,30.58,30.69,66791,0
NOVM.US,D,20241224,000000,30.7,30.73,30.65,30.7054,12561,0
NOVM.US,D,20241227,000000,30.67,30.7,30.6515,30.67,5662,0
NOVM.US,D,20241230,000000,30.67,30.67,30.58,30.66,3487,0
NOVM.US,D,20241231,000000,30.6,30.6419,30.56,30.56,1043,0
NOVM.US,D,20250102,000000,30.57,30.5852,30.53,30.5852,1970,0
NOVM.US,D,20250103,000000,30.66,30.6649,30.66,30.6649,6642,0
NOVM.US,D,20250106,000000,30.7405,30.7699,30.7,30.7001,976,0
NOVM.US,D,20250107,000000,30.63,30.65,30.63,30.6351,24110,0
NOVM.US,D,20250108,000000,30.63,30.679,30.63,30.65,3907,0
NOVM.US,D,20250110,000000,30.52,30.61,30.51,30.61,13777,0
