<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OCTM.US,D,20241022,000000,31.68,31.68,30.38,30.4041,114536,0
OCTM.US,D,20241023,000000,30.55,30.55,30.3167,30.3652,48465,0
OCTM.US,D,20241024,000000,30.3745,30.39,30.36,30.385,25566,0
OCTM.US,D,20241025,000000,30.53,30.53,30.37,30.395,22159,0
OCTM.US,D,20241028,000000,30.41,30.43,30.3643,30.3643,30808,0
OCTM.US,D,20241029,000000,30.39,30.4199,30.3657,30.3657,30430,0
OCTM.US,D,20241030,000000,30.4,30.44,30.3682,30.3682,28773,0
OCTM.US,D,20241031,000000,30.42,30.42,30.21,30.2539,42714,0
OCTM.US,D,20241101,000000,30.42,30.42,30.28,30.3035,91461,0
OCTM.US,D,20241104,000000,30.32,30.32,30.26,30.2641,13286,0
OCTM.US,D,20241105,000000,30.3,30.36,30.29,30.307,39816,0
OCTM.US,D,20241106,000000,30.4575,30.48,30.42,30.4399,11400,0
OCTM.US,D,20241107,000000,30.51,30.54,30.485,30.4965,29678,0
OCTM.US,D,20241108,000000,30.48,30.54,30.48,30.5118,205387,0
OCTM.US,D,20241111,000000,30.51,30.52,30.51,30.51,40826,0
OCTM.US,D,20241112,000000,30.49,30.52,30.46,30.4808,29847,0
OCTM.US,D,20241113,000000,30.53,30.63,30.49,30.5184,40172,0
OCTM.US,D,20241114,000000,30.53,30.53,30.47,30.47,24438,0
OCTM.US,D,20241115,000000,30.45,30.45,30.37,30.3864,137094,0
OCTM.US,D,20241118,000000,30.42,30.53,30.4003,30.4003,5986,0
OCTM.US,D,20241119,000000,30.43,30.47,30.42,30.47,21214,0
OCTM.US,D,20241120,000000,30.44,30.44,30.395,30.435,2456,0
OCTM.US,D,20241125,000000,30.5391,30.5391,30.525,30.535,3444,0
OCTM.US,D,20241126,000000,30.56,30.56,30.51,30.5349,1437,0
OCTM.US,D,20241127,000000,30.55,30.55,30.42,30.51,1858,0
OCTM.US,D,20241129,000000,30.53,30.5952,30.44,30.5952,527,0
OCTM.US,D,20241202,000000,30.61,30.6258,30.59,30.6,80241,0
OCTM.US,D,20241203,000000,30.57,30.66,30.57,30.6055,23863,0
OCTM.US,D,20241205,000000,30.68,30.68,30.635,30.635,2105,0
OCTM.US,D,20241206,000000,30.67,30.6707,30.67,30.6707,163,0
OCTM.US,D,20241209,000000,30.6899,30.6899,30.6329,30.6329,9495,0
OCTM.US,D,20241211,000000,30.6429,30.6999,30.6429,30.665,7054,0
OCTM.US,D,20241212,000000,30.635,30.635,30.6349,30.6349,815,0
OCTM.US,D,20241213,000000,30.66,30.6715,30.6429,30.6429,3794,0
OCTM.US,D,20241218,000000,30.6295,30.6295,30.52,30.52,1114,0
OCTM.US,D,20241220,000000,30.5505,30.6192,30.5505,30.5511,381,0
OCTM.US,D,20241223,000000,30.5,30.5963,30.49,30.5963,4952,0
OCTM.US,D,20241230,000000,30.5492,30.61,30.5492,30.555,5616,0
OCTM.US,D,20241231,000000,30.51,30.51,30.49,30.51,2145,0
OCTM.US,D,20250102,000000,30.5,30.5,30.46,30.5,1720,0
OCTM.US,D,20250106,000000,30.65,30.65,30.6303,30.6303,1012,0
OCTM.US,D,20250107,000000,30.6,30.64,30.5647,30.5647,2583,0
OCTM.US,D,20250108,000000,30.57,30.5891,30.5386,30.5891,15176,0
OCTM.US,D,20250110,000000,30.48,30.48,30.432,30.45,11193,0
