<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCG_X.US,D,20241212,000000,49.4,49.66,49,49.66,543151,0
PCG_X.US,D,20241213,000000,49.4,49.53,49.33,49.33,220850,0
PCG_X.US,D,20241216,000000,49.38,49.44,49.04,49.04,733800,0
PCG_X.US,D,20241217,000000,49.04,50.025,49.03,50.025,337930,0
PCG_X.US,D,20241218,000000,49.08,49.12,48.33,48.38,120213,0
PCG_X.US,D,20241219,000000,48.82,49.11,48.66,48.77,344433,0
PCG_X.US,D,20241220,000000,48.64,49.37,48.64,49.37,162639,0
PCG_X.US,D,20241223,000000,49.24,49.38,49.24,49.38,102257,0
PCG_X.US,D,20241224,000000,49.58,49.84,49.56,49.84,152885,0
PCG_X.US,D,20241226,000000,49.86,49.86,49.86,49.86,1277,0
PCG_X.US,D,20241227,000000,49.86,50.28,49.8,49.92,18629,0
PCG_X.US,D,20241230,000000,49.84,51,49.67,49.82,577262,0
PCG_X.US,D,20241231,000000,49.87,50.16,49.68,49.79,3696907,0
PCG_X.US,D,20250102,000000,49.94,49.98,49.49,49.49,127002,0
PCG_X.US,D,20250103,000000,49.54,50.2,49.51,50.11,675161,0
PCG_X.US,D,20250106,000000,50.11,50.25,49.29,49.31,186593,0
PCG_X.US,D,20250107,000000,49.4,49.5,49.36,49.45,249706,0
PCG_X.US,D,20250108,000000,49.17,49.17,47.55,48.23,1365366,0
PCG_X.US,D,20250110,000000,46.6,46.6,43.8,44.17,1918945,0
