<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCLO.US,D,20241205,000000,25.0552,25.06,25.045,25.057,9451,0
PCLO.US,D,20241206,000000,25.07,25.07,25.04,25.055,6347,0
PCLO.US,D,20241209,000000,25.06,25.06,25.0548,25.055,1259,0
PCLO.US,D,20241210,000000,25.07,25.08,25.06,25.065,2906,0
PCLO.US,D,20241211,000000,25.07,25.08,25.07,25.08,1351,0
PCLO.US,D,20241213,000000,25.09,25.1,25.085,25.085,2211,0
PCLO.US,D,20241216,000000,25.07,25.09,25.07,25.09,4134,0
PCLO.US,D,20241217,000000,25.07,25.09,25.07,25.09,36731,0
PCLO.US,D,20241218,000000,25.07,25.09,25.07,25.085,890,0
PCLO.US,D,20241219,000000,25.09,25.09,25.07,25.08,3183,0
PCLO.US,D,20241220,000000,25,25,24.9941,24.9953,1628,0
PCLO.US,D,20241223,000000,25,25.01,25,25.005,574,0
PCLO.US,D,20241224,000000,25,25.01,25,25.005,815,0
PCLO.US,D,20241226,000000,25.01,25.02,25.0052,25.02,4149,0
PCLO.US,D,20241227,000000,25.01,25.03,25.01,25.03,3782,0
PCLO.US,D,20241230,000000,25.02,25.03,25.015,25.015,117392,0
PCLO.US,D,20241231,000000,25.03,25.04,25.03,25.035,6599,0
PCLO.US,D,20250102,000000,25.05,25.06,25.03,25.05,9893,0
PCLO.US,D,20250103,000000,25.068,25.08,25.0605,25.065,5025,0
PCLO.US,D,20250106,000000,25.07,25.08,25.07,25.08,4114,0
PCLO.US,D,20250107,000000,25.05,25.07,25.05,25.065,995,0
PCLO.US,D,20250108,000000,25.06,25.0705,25.06,25.07,336,0
PCLO.US,D,20250110,000000,25.06,25.11,25.06,25.11,2938,0
