<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PDPA.US,D,20241224,000000,24.77,24.89,24.77,24.89,11537,0
PDPA.US,D,20241226,000000,24.8859,25.84,24.85,25.17,20430,0
PDPA.US,D,20241227,000000,25,25.19,24.97,24.99,4206,0
PDPA.US,D,20241230,000000,25,25,24.87,24.9,15031,0
PDPA.US,D,20241231,000000,24.91,24.9399,24.86,24.88,10756,0
PDPA.US,D,20250102,000000,24.99,25.0999,24.96,25,20588,0
PDPA.US,D,20250103,000000,25,25.1,24.9402,25.1,14954,0
PDPA.US,D,20250106,000000,25.1,25.25,25.05,25.1,16055,0
PDPA.US,D,20250107,000000,25,25.04,24.93,24.96,18819,0
PDPA.US,D,20250108,000000,24.98,25,24.935,24.95,9991,0
PDPA.US,D,20250110,000000,25,25.26,24.99,25.03,8460,0
