<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRCS.US,D,20241217,000000,24.83,24.89,24.81,24.8469,16020,0
PRCS.US,D,20241218,000000,24.87,24.929,24.15,24.15,15302,0
PRCS.US,D,20241219,000000,24.32,24.32,24.0894,24.0894,18286,0
PRCS.US,D,20241220,000000,24.0233,24.52,24.0233,24.4,22507,0
PRCS.US,D,20241223,000000,24.33,24.4762,24.3,24.4762,25959,0
PRCS.US,D,20241224,000000,24.61,24.6601,24.61,24.6601,10663,0
PRCS.US,D,20241226,000000,24.63,24.7,24.59,24.69,4979,0
PRCS.US,D,20241227,000000,24.51,24.52,24.27,24.4105,17540,0
PRCS.US,D,20241230,000000,24.03,24.28,24.03,24.239,16610,0
PRCS.US,D,20241231,000000,24.21,24.23,24.01,24.08,23809,0
PRCS.US,D,20250102,000000,24.16,24.28,23.89,23.99,25653,0
PRCS.US,D,20250103,000000,24.21,24.31,24.14,24.2824,25095,0
PRCS.US,D,20250106,000000,24.46,24.6325,24.41,24.44,109113,0
PRCS.US,D,20250107,000000,24.47,24.47,24.13,24.18,24985,0
PRCS.US,D,20250108,000000,24.17,24.28,24.15,24.28,11221,0
PRCS.US,D,20250110,000000,24.04,24.04,23.81,23.89,32481,0
