<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QCJA.US,D,20250122,000000,20.0199,21.92,19.9962,20.0185,359149,0
QCJA.US,D,20250123,000000,20,20.03,19.92,20.0299,95530,0
QCJA.US,D,20250124,000000,20.0177,20.78,19.9409,19.9746,121428,0
QCJA.US,D,20250127,000000,19.68,19.8284,19.68,19.78,111145,0
QCJA.US,D,20250128,000000,19.76,19.91,19.74,19.9,79012,0
QCJA.US,D,20250129,000000,19.8895,19.9299,19.81,19.87,83297,0
QCJA.US,D,20250130,000000,19.92,20.41,19.8499,19.98,213945,0
QCJA.US,D,20250131,000000,19.98,20.355,19.89,19.91,107695,0
QCJA.US,D,20250203,000000,19.77,19.92,19.74,19.85,48588,0
QCJA.US,D,20250204,000000,19.87,19.99,19.87,19.9312,83024,0
QCJA.US,D,20250205,000000,19.94,19.99,19.94,19.96,49031,0
QCJA.US,D,20250206,000000,19.9559,20.485,19.9559,20.06,109142,0
QCJA.US,D,20250207,000000,19.99,19.99,19.92,19.94,23980,0
QCJA.US,D,20250210,000000,20.019,20.07,20,20.02,36094,0
QCJA.US,D,20250211,000000,20,20.03,19.95,20.02,27776,0
