<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCD.US,D,20241223,000000,24.85,24.89,24.73,24.86,113400,0
RCD.US,D,20241224,000000,24.86,24.94,24.85,24.94,61728,0
RCD.US,D,20241226,000000,24.92,25,24.9145,25,113487,0
RCD.US,D,20241227,000000,25,25,24.91,25,39422,0
RCD.US,D,20241230,000000,24.998,25.25,24.92,25.25,190079,0
RCD.US,D,20241231,000000,25.08,25.24,24.95,25.2,787880,0
RCD.US,D,20250102,000000,25.09,25.16,25.04,25.14,110021,0
RCD.US,D,20250103,000000,25.12,25.2,25.1,25.14,94086,0
RCD.US,D,20250106,000000,25.13,25.14,25.03,25.0502,32470,0
RCD.US,D,20250107,000000,25.09,25.09,24.87,24.92,66238,0
RCD.US,D,20250108,000000,24.92,24.9999,24.9022,24.93,26369,0
RCD.US,D,20250110,000000,24.92,24.95,24.85,24.86,123501,0
