<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFA-U.US,D,20231205,000000,10.9,11.09,10.89,10.9,2696,0
RCFA-U.US,D,20231206,000000,10.9,10.95,10.9,10.9,802,0
RCFA-U.US,D,20231211,000000,11,11.05,11,11.02,902,0
RCFA-U.US,D,20231214,000000,11.07,11.07,11.07,11.07,200,0
RCFA-U.US,D,20231215,000000,11.1,11.1,11.1,11.1,200,0
RCFA-U.US,D,20231228,000000,11.09,11.09,11.07,11.07,600,0
RCFA-U.US,D,20240103,000000,11.07,11.08,11.02,11.07,2215,0
RCFA-U.US,D,20240104,000000,11.07,11.07,11.07,11.07,400,0
RCFA-U.US,D,20240105,000000,11.08,11.08,11.08,11.08,200,0
RCFA-U.US,D,20240108,000000,11.07,11.08,11.07,11.08,1705,0
RCFA-U.US,D,20240118,000000,11.11,11.11,11.11,11.11,300,0
RCFA-U.US,D,20240129,000000,11.2,11.2,11.02,11.02,201,0
RCFA-U.US,D,20240304,000000,11.02,11.02,11.02,11.02,100,0
RCFA-U.US,D,20240318,000000,11.25,11.25,11.21,11.21,496,0
RCFA-U.US,D,20240320,000000,11.2501,11.2501,11.24,11.24,400,0
RCFA-U.US,D,20240327,000000,11.73,12.3699,11.73,12.32,368,0
RCFA-U.US,D,20240403,000000,11.3,11.3,11.22,11.22,210,0
RCFA-U.US,D,20240626,000000,11.62,11.63,11.62,11.63,305,0
RCFA-U.US,D,20240718,000000,11.7,11.7,11.46,11.53,702,0
RCFA-U.US,D,20240719,000000,11.5,11.53,11.38,11.38,900,0
RCFA-U.US,D,20240726,000000,11.39,11.39,11.39,11.39,269,0
RCFA-U.US,D,20240729,000000,11.39,11.39,11.39,11.39,100,0
RCFA-U.US,D,20240826,000000,11.6,11.6,11.5,11.5,406,0
RCFA-U.US,D,20240827,000000,11.39,12.29,11.38,12.12,3202,0
RCFA-U.US,D,20240828,000000,11.38,13.27,11.38,11.9,2903,0
RCFA-U.US,D,20240830,000000,12.39,12.39,11.4,11.4,1898,0
RCFA-U.US,D,20240903,000000,11.6601,11.6601,11.53,11.53,500,0
RCFA-U.US,D,20240905,000000,11.66,11.66,11.66,11.66,400,0
RCFA-U.US,D,20240911,000000,11.62,11.62,11.38,11.38,900,0
RCFA-U.US,D,20241009,000000,11.48,11.48,11.38,11.38,5035,0
RCFA-U.US,D,20241017,000000,11.6001,11.76,11.4,11.49,8930,0
RCFA-U.US,D,20241018,000000,11.6,12.5,11.47,11.47,6245,0
RCFA-U.US,D,20241021,000000,11.51,11.6001,11.46,11.5,1587,0
