<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RFIX.US,D,20241212,000000,57.16,57.16,56.1533,56.1533,13034,0
RFIX.US,D,20241213,000000,56.305,56.305,55.78,55.883,4671,0
RFIX.US,D,20241216,000000,56.5,56.63,56,56.3882,1813,0
RFIX.US,D,20241217,000000,56.93,57.26,56.8,56.8528,6893,0
RFIX.US,D,20241218,000000,56.36,56.8044,55.27,56.0865,9489,0
RFIX.US,D,20241219,000000,54.3918,54.59,53.47,54.2046,106742,0
RFIX.US,D,20241220,000000,55.59,56.29,55.5283,55.7005,39191,0
RFIX.US,D,20241223,000000,55.2,55.54,54,54.1136,311500,0
RFIX.US,D,20241224,000000,53.455,54,53.41,53.9132,28773,0
RFIX.US,D,20241226,000000,52.9,53.94,52.56,53.8031,77867,0
RFIX.US,D,20241227,000000,53.05,53.35,52.35,52.5,24241,0
RFIX.US,D,20241230,000000,53.25,53.4,53.0229,53.2682,13665,0
RFIX.US,D,20241231,000000,53.62,53.63,52.77,52.877,19559,0
RFIX.US,D,20250102,000000,53.17,53.71,52.52,53.71,64444,0
RFIX.US,D,20250103,000000,53,53.18,52.4948,52.4948,6780,0
RFIX.US,D,20250106,000000,52.25,52.3,51.6,51.6314,18688,0
RFIX.US,D,20250107,000000,51.15,51.15,50.11,50.5305,35672,0
RFIX.US,D,20250108,000000,50.05,51.05,49.85,50.9394,399979,0
RFIX.US,D,20250110,000000,50.03,50.7,50.01,50.45,31564,0
