<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RGEF.US,D,20241029,000000,25.11,25.1126,25.11,25.1126,10496,0
RGEF.US,D,20241030,000000,25.03,25.03,24.9838,24.9838,1441,0
RGEF.US,D,20241031,000000,24.67,24.67,24.59,24.6545,14034,0
RGEF.US,D,20241101,000000,24.79,24.79,24.79,24.79,110,0
RGEF.US,D,20241104,000000,24.6498,24.6498,24.6498,24.6498,1,0
RGEF.US,D,20241105,000000,24.9123,24.9123,24.9123,24.9123,1,0
RGEF.US,D,20241106,000000,25.1919,25.1919,25.1919,25.1919,1,0
RGEF.US,D,20241107,000000,25.4601,25.4601,25.4601,25.4601,17,0
RGEF.US,D,20241108,000000,25.3809,25.3809,25.3809,25.3809,40,0
RGEF.US,D,20241111,000000,25.47,25.47,25.4213,25.4213,213,0
RGEF.US,D,20241113,000000,25.08,25.13,25.0459,25.0459,724,0
RGEF.US,D,20241114,000000,25.12,25.12,24.9569,24.9569,602,0
RGEF.US,D,20241115,000000,24.73,24.73,24.71,24.7291,657,0
RGEF.US,D,20241118,000000,24.75,24.8358,24.74,24.8358,101603,0
RGEF.US,D,20241121,000000,24.76,24.9186,23.78,24.9186,12363,0
RGEF.US,D,20241122,000000,25.0199,25.0335,25.0199,25.0335,400,0
RGEF.US,D,20241125,000000,25.12,25.1436,25.12,25.1436,29973,0
RGEF.US,D,20241126,000000,25.145,25.2076,25.145,25.2076,710,0
RGEF.US,D,20241203,000000,25.4149,25.5043,25.4149,25.5043,4698,0
RGEF.US,D,20241205,000000,25.61,25.61,25.6029,25.6029,136,0
RGEF.US,D,20241209,000000,25.64,25.7,25.5088,25.5088,1804,0
RGEF.US,D,20241211,000000,25.53,25.6085,25.51,25.6085,5126,0
RGEF.US,D,20241212,000000,25.56,25.56,25.4822,25.4822,1986,0
RGEF.US,D,20241213,000000,25.41,25.4229,25.41,25.4229,101,0
RGEF.US,D,20241216,000000,25.41,25.5,25.4,25.4725,23513,0
RGEF.US,D,20241217,000000,25.36,25.4,25.3,25.3594,231788,0
RGEF.US,D,20241218,000000,25.35,25.37,24.7035,24.7035,8677,0
RGEF.US,D,20241219,000000,24.8,24.81,24.7,24.7356,6258,0
RGEF.US,D,20241220,000000,25.07,25.07,24.8909,24.8909,18415,0
RGEF.US,D,20241223,000000,24.99,25.0505,24.99,25.0505,10417,0
RGEF.US,D,20241230,000000,24.62,24.81,24.6,24.7541,7109,0
RGEF.US,D,20241231,000000,24.825,24.86,24.66,24.7056,4086,0
RGEF.US,D,20250102,000000,24.9,24.9,24.7491,24.7491,185619,0
RGEF.US,D,20250107,000000,25.1,25.225,25.041,25.0996,17773,0
RGEF.US,D,20250108,000000,25.07,25.1125,25.07,25.1125,10001,0
RGEF.US,D,20250110,000000,24.73,24.792,24.72,24.78,70327,0
