<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RSBA.US,D,20241219,000000,20.01,20.02,19.995,19.995,4442,0
RSBA.US,D,20241220,000000,20.07,20.11,20.07,20.0752,10813,0
RSBA.US,D,20241223,000000,20.03,20.07,19.97,19.97,234031,0
RSBA.US,D,20241224,000000,19.9392,19.979,19.9392,19.9702,2809,0
RSBA.US,D,20241226,000000,19.9188,19.9823,19.91,19.9823,8012,0
RSBA.US,D,20241227,000000,19.97,19.97,19.945,19.945,869,0
RSBA.US,D,20241230,000000,20.03,20.034,20.0199,20.0298,2346,0
RSBA.US,D,20241231,000000,20.03,20.03,20.01,20.015,1260,0
RSBA.US,D,20250102,000000,20.02,20.0699,20.0099,20.0181,2811,0
RSBA.US,D,20250103,000000,20.035,20.04,20.03,20.03,5618,0
RSBA.US,D,20250106,000000,19.979,19.979,19.95,19.9549,1073,0
RSBA.US,D,20250107,000000,19.91,19.91,19.86,19.8802,10628,0
RSBA.US,D,20250108,000000,19.8601,19.93,19.8601,19.9208,5693,0
RSBA.US,D,20250110,000000,19.8428,19.8428,19.8179,19.8179,587,0
