<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RSDE.US,D,20241226,000000,20.16,20.23,20.16,20.205,24790,0
RSDE.US,D,20241227,000000,20.1,20.14,19.99,20.1114,17753,0
RSDE.US,D,20241230,000000,19.955,20.09,19.955,19.99,114170,0
RSDE.US,D,20241231,000000,20.13,20.13,20.02,20.025,25120,0
RSDE.US,D,20250102,000000,20.1,20.12,19.99,20.0367,4625,0
RSDE.US,D,20250103,000000,20.179,20.18,20.1308,20.1308,22261,0
RSDE.US,D,20250106,000000,20.25,20.3,20.1302,20.1302,130609,0
RSDE.US,D,20250107,000000,20.14,20.14,20.071,20.071,2896,0
RSDE.US,D,20250108,000000,20.06,20.1057,20.0173,20.1057,10430,0
RSDE.US,D,20250110,000000,19.99,20.013,19.8966,19.92,43003,0
