<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SBXD-WS.US,D,20241009,000000,0.12,0.2,0.12,0.2,401183,0
SBXD-WS.US,D,20241014,000000,0.2,0.2,0.2,0.2,100,0
SBXD-WS.US,D,20241015,000000,0.1666,0.1943,0.12,0.13,213751,0
SBXD-WS.US,D,20241016,000000,0.14,0.14,0.14,0.14,5051,0
SBXD-WS.US,D,20241017,000000,0.15,0.15,0.15,0.15,100,0
SBXD-WS.US,D,20241021,000000,0.14,0.142,0.14,0.142,2151,0
SBXD-WS.US,D,20241022,000000,0.15,0.16,0.15,0.16,1800,0
SBXD-WS.US,D,20241023,000000,0.16,0.16,0.16,0.16,100,0
SBXD-WS.US,D,20241028,000000,0.13,0.13,0.13,0.13,151,0
SBXD-WS.US,D,20241101,000000,0.1378,0.1378,0.13,0.13,5800,0
SBXD-WS.US,D,20241104,000000,0.1378,0.1378,0.1301,0.1301,335,0
SBXD-WS.US,D,20241107,000000,0.1659,0.1725,0.1659,0.1725,1066,0
SBXD-WS.US,D,20241108,000000,0.2,0.2,0.1842,0.1842,260,0
SBXD-WS.US,D,20241113,000000,0.18,0.18,0.1799,0.1799,5348,0
SBXD-WS.US,D,20241115,000000,0.13,0.15,0.13,0.14,1918,0
SBXD-WS.US,D,20241119,000000,0.14,0.1484,0.14,0.14,67376,0
SBXD-WS.US,D,20241120,000000,0.1404,0.182,0.1403,0.182,1080,0
SBXD-WS.US,D,20241121,000000,0.1504,0.1504,0.15,0.15,888,0
SBXD-WS.US,D,20241122,000000,0.158,0.158,0.15,0.15,3100,0
SBXD-WS.US,D,20241125,000000,0.15,0.19,0.15,0.19,29383,0
SBXD-WS.US,D,20241127,000000,0.1641,0.1692,0.1641,0.1659,1842,0
SBXD-WS.US,D,20241204,000000,0.1999,0.1999,0.1999,0.1999,100,0
SBXD-WS.US,D,20241211,000000,0.2022,0.2598,0.2022,0.2022,1065,0
SBXD-WS.US,D,20241226,000000,0.2102,0.2302,0.2002,0.2201,20206,0
SBXD-WS.US,D,20241227,000000,0.2103,0.2103,0.2103,0.2103,6921,0
SBXD-WS.US,D,20250110,000000,0.24,0.248,0.24,0.248,800,0
