<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCCO.US,D,20050225,000000,5.29024,5.54057,5.29024,5.51303,6523171.5396003,0
SCCO.US,D,20050228,000000,5.98027,6.11927,5.61306,5.82991,8550876.6310175,0
SCCO.US,D,20050301,000000,6.0024,6.0024,5.55162,5.6795,10363950.664741,0
SCCO.US,D,20050302,000000,5.59068,5.59068,5.33494,5.34604,11244060.82882,0
SCCO.US,D,20050303,000000,5.285,5.57985,5.24579,5.55162,7103441.7066557,0
SCCO.US,D,20050304,000000,5.79087,6.16362,5.70731,5.95221,8667367.5423244,0
SCCO.US,D,20050307,000000,6.07458,6.07458,5.80202,5.82432,4936598.3419377,0
SCCO.US,D,20050308,000000,5.88551,5.97468,5.66851,5.70731,4882671.3745855,0
SCCO.US,D,20050309,000000,5.78563,5.81894,5.52392,5.63521,6980485.1918201,0
SCCO.US,D,20050310,000000,5.63521,5.63521,5.33494,5.35735,5753076.0335137,0
SCCO.US,D,20050311,000000,5.42368,5.60166,5.42368,5.49619,2605820.4517328,0
SCCO.US,D,20050314,000000,5.47389,5.47955,5.32946,5.36276,2199200.9651009,0
SCCO.US,D,20050315,000000,5.51842,5.77423,5.48496,5.59068,3891469.7407996,0
SCCO.US,D,20050316,000000,5.60751,5.72445,5.48496,5.59068,7469079.6327078,0
SCCO.US,D,20050317,000000,5.75757,5.75757,5.59068,5.67425,7113148.3951158,0
SCCO.US,D,20050318,000000,5.74094,5.74644,5.46841,5.55162,2977923.9813134,0
SCCO.US,D,20050321,000000,5.49052,5.51842,5.24063,5.39604,4361716.9666959,0
SCCO.US,D,20050322,000000,5.37366,5.51303,5.37366,5.39604,3419057.0583774,0
SCCO.US,D,20050323,000000,5.41285,5.41285,5.1289,5.18469,4482524.5913397,0
SCCO.US,D,20050324,000000,5.18469,5.26829,5.14548,5.15682,1929554.2952441,0
SCCO.US,D,20050328,000000,5.15682,5.16811,4.97875,4.99015,4450172.9075047,0
SCCO.US,D,20050329,000000,4.97318,5.14548,4.80627,4.86754,5327039.6200329,0
SCCO.US,D,20050330,000000,4.79526,5.04559,4.77845,5.00104,5575114.5563013,0
SCCO.US,D,20050331,000000,5.09562,5.22915,5.09562,5.14015,3139706.0666797,0
SCCO.US,D,20050401,000000,5.24063,5.26252,5.10129,5.17897,3073917.6041277,0
SCCO.US,D,20050404,000000,5.17897,5.18469,4.93995,5.06225,2238022.9857028,0
SCCO.US,D,20050405,000000,5.19027,5.22915,5.0565,5.11227,1824937.8955422,0
SCCO.US,D,20050406,000000,5.1289,5.19027,5.01253,5.07898,2343726.8469058,0
SCCO.US,D,20050407,000000,5.07355,5.285,5.07355,5.22915,3188243.0589087,0
SCCO.US,D,20050408,000000,5.21782,5.25712,5.06225,5.10129,3098726.8727189,0
SCCO.US,D,20050411,000000,5.16811,5.19027,5.11227,5.17354,1959759.4555062,0
SCCO.US,D,20050412,000000,5.19027,5.20702,4.98423,5.10685,2554040.0079533,0
SCCO.US,D,20050413,000000,5.1289,5.18469,5.07898,5.10685,3864509.2153975,0
SCCO.US,D,20050414,000000,5.08466,5.14548,4.8509,4.91208,5814558.4325148,0
SCCO.US,D,20050415,000000,4.78413,4.91208,4.6561,4.88435,7167076.5457776,0
SCCO.US,D,20050418,000000,4.88435,5.14548,4.82293,5.10129,4385450.6068816,0
SCCO.US,D,20050419,000000,5.27936,5.52949,5.24063,5.49052,5844760.0428484,0
SCCO.US,D,20050420,000000,5.60751,5.60751,5.24579,5.25146,3392095.3496656,0
SCCO.US,D,20050421,000000,5.285,5.37366,5.19566,5.35167,3963736.8232857,0
SCCO.US,D,20050422,000000,5.46841,5.46841,5.16811,5.21216,5374497.4339277,0
SCCO.US,D,20050425,000000,5.25146,5.36276,5.24063,5.33494,3448177.1237576,0
SCCO.US,D,20050426,000000,5.5076,5.5076,5.35735,5.43502,17030567.724503,0
SCCO.US,D,20050427,000000,5.23499,5.23499,4.82884,4.91208,8867976.3815308,0
SCCO.US,D,20050428,000000,4.91208,4.91756,4.69498,4.75076,3554961.3466045,0
SCCO.US,D,20050429,000000,4.76749,4.86754,4.61149,4.73958,4678821.4504477,0
SCCO.US,D,20050502,000000,4.74525,4.86204,4.63379,4.74525,4430751.2474176,0
SCCO.US,D,20050503,000000,4.79526,4.82293,4.72835,4.74525,2500118.9571489,0
SCCO.US,D,20050504,000000,4.73958,4.82293,4.68414,4.8007,3762036.9726491,0
SCCO.US,D,20050505,000000,4.8176,4.95103,4.8176,4.9288,2331862.985087,0
SCCO.US,D,20050506,000000,4.93995,4.97318,4.84533,4.88435,2316761.5882655,0
SCCO.US,D,20050509,000000,4.91208,4.91756,4.82293,4.86754,1561761.5624524,0
SCCO.US,D,20050510,000000,4.86754,4.88435,4.74525,4.75076,2394419.8291842,0
SCCO.US,D,20050511,000000,4.75076,4.75076,4.51141,4.5949,4638920.2515115,0
SCCO.US,D,20050512,000000,4.52848,4.52848,4.22789,4.34468,9114970.9561554,0
SCCO.US,D,20050513,000000,4.41693,4.42809,4.03327,4.12792,6814386.3931169,0
SCCO.US,D,20050516,000000,4.05508,4.15039,3.98307,4.12792,5321648.4616002,0
SCCO.US,D,20050517,000000,4.12792,4.32794,4.12219,4.28883,3960496.9216639,0
SCCO.US,D,20050518,000000,4.32794,4.42809,4.29457,4.31689,4493311.6414436,0
SCCO.US,D,20050519,000000,4.34468,4.34468,4.18345,4.20558,4332604.0011733,0
SCCO.US,D,20050520,000000,4.21658,4.29457,4.16653,4.29457,3710265.9953463,0
SCCO.US,D,20050523,000000,4.29457,4.31689,4.19426,4.21658,5345379.7351666,0
SCCO.US,D,20050524,000000,4.12792,4.2333,4.08881,4.10561,5072501.4468551,0
SCCO.US,D,20050525,000000,4.11125,4.21658,4.05,4.20558,3837539.2235187,0
SCCO.US,D,20050526,000000,4.25561,4.25561,4.16104,4.22222,3449258.6687111,0
SCCO.US,D,20050527,000000,4.31139,4.31139,4.23877,4.28883,3073917.6041277,0
SCCO.US,D,20050531,000000,4.26685,4.35575,4.21658,4.30581,4649704.9349961,0
SCCO.US,D,20050601,000000,4.31139,4.36125,4.27768,4.32245,3983145.4669675,0
SCCO.US,D,20050602,000000,4.35575,4.43916,4.31689,4.41126,5247226.5723745,0
SCCO.US,D,20050603,000000,4.41693,4.57825,4.41693,4.5672,5176041.0348419,0
SCCO.US,D,20050606,000000,4.61149,4.67273,4.3391,4.41693,6361390.6375437,0
SCCO.US,D,20050607,000000,4.42242,4.42242,4.33344,4.34468,8133473.6442105,0
SCCO.US,D,20050608,000000,4.34468,4.36683,4.15039,4.17203,8825913.2759975,0
SCCO.US,D,20050609,000000,4.12792,4.12792,3.95528,4.02186,17573091.499362,0
SCCO.US,D,20050610,000000,3.96076,4.09977,3.9387,4.03866,76855454.119007,0
SCCO.US,D,20050613,000000,4.05,4.09977,3.99422,4.07763,16900061.694565,0
SCCO.US,D,20050614,000000,4.07763,4.08881,3.99422,4.01645,9462267.583764,0
SCCO.US,D,20050615,000000,4.0723,4.17203,4.04433,4.16104,23130947.485482,0
SCCO.US,D,20050616,000000,4.18345,4.28883,4.17203,4.25561,26423810.494021,0
SCCO.US,D,20050617,000000,4.31139,4.32245,4.2333,4.26685,19369980.224691,0
SCCO.US,D,20050620,000000,4.26143,4.26685,4.12792,4.17786,11620481.071737,0
SCCO.US,D,20050621,000000,4.17203,4.17203,4.07763,4.09977,8226234.4652604,0
SCCO.US,D,20050622,000000,4.07763,4.09977,4.02186,4.03327,12012006.261404,0
SCCO.US,D,20050623,000000,3.99422,4.03327,3.83296,3.86052,24138333.244352,0
SCCO.US,D,20050624,000000,3.87186,3.96643,3.87186,3.92172,13753891.207667,0
SCCO.US,D,20050627,000000,3.97748,3.98307,3.89407,3.91072,7572618.0373848,0
SCCO.US,D,20050628,000000,3.94403,4.02775,3.93295,4.0053,8707272.2911893,0
SCCO.US,D,20050629,000000,3.98854,4.05,3.98854,4.03866,8366444.8170381,0
SCCO.US,D,20050630,000000,4.05508,4.0723,3.95528,3.97217,7903742.3730047,0
SCCO.US,D,20050701,000000,3.98307,4.01096,3.8995,3.97748,7035492.5208161,0
SCCO.US,D,20050705,000000,3.97748,4.03327,3.97748,4.01645,6393749.4212361,0
SCCO.US,D,20050706,000000,4.03327,4.13306,4.02186,4.09977,10079214.431158,0
SCCO.US,D,20050707,000000,4.05508,4.16104,4.03327,4.16104,7664293.7635526,0
SCCO.US,D,20050708,000000,4.17203,4.25561,4.16653,4.25561,10878427.636006,0
SCCO.US,D,20050711,000000,4.25017,4.34468,4.23877,4.31139,10201087.034421,0
SCCO.US,D,20050712,000000,4.33344,4.3391,4.28356,4.33344,8616669.8268079,0
SCCO.US,D,20050713,000000,4.33344,4.36683,4.28883,4.31689,4718723.8326933,0
SCCO.US,D,20050714,000000,4.35575,4.39462,4.30014,4.36125,12002294.839706,0
SCCO.US,D,20050715,000000,4.38375,4.38914,4.30581,4.37248,5100544.7005202,0
SCCO.US,D,20050718,000000,4.38375,4.44474,4.34468,4.42809,5574034.1946575,0
SCCO.US,D,20050719,000000,4.3391,4.47278,4.32794,4.43364,18882474.428613,0
SCCO.US,D,20050720,000000,4.48919,4.58384,4.45032,4.58384,13805659.818351,0
SCCO.US,D,20050721,000000,4.5895,4.6561,4.48919,4.57825,8049343.8832152,0
SCCO.US,D,20050722,000000,4.57825,4.70605,4.57825,4.67866,8663052.0122971,0
SCCO.US,D,20050725,000000,4.72835,4.77287,4.60605,4.62814,8892786.8334316,0
SCCO.US,D,20050726,000000,4.61149,4.70605,4.57825,4.65068,6601910.1421629,0
SCCO.US,D,20050727,000000,4.67273,4.74525,4.5895,4.73385,7428087.4223416,0
