<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCDV.US,D,20241217,000000,24.46,24.46,24.25,24.2717,481,0
SCDV.US,D,20241218,000000,23.92,23.92,23.3821,23.3821,666,0
SCDV.US,D,20241219,000000,23.4,23.46,23.3696,23.3696,4007,0
SCDV.US,D,20241220,000000,23.41,23.73,23.3989,23.3989,2388,0
SCDV.US,D,20241223,000000,23.33,23.33,23.28,23.32,4578,0
SCDV.US,D,20241224,000000,23.29,23.5617,23.29,23.5617,1671,0
SCDV.US,D,20241226,000000,23.667,23.7147,23.61,23.7147,1269,0
SCDV.US,D,20241227,000000,23.52,23.52,23.32,23.4312,2210,0
SCDV.US,D,20241230,000000,23.1324,23.3404,23.12,23.3404,273,0
SCDV.US,D,20241231,000000,23.46,23.46,23.29,23.3037,1559,0
SCDV.US,D,20250102,000000,23.47,23.47,23.11,23.1151,4081,0
SCDV.US,D,20250103,000000,23.05,23.29,23.05,23.2588,42895,0
SCDV.US,D,20250106,000000,23.24,23.4,23.059,23.059,8703,0
SCDV.US,D,20250107,000000,22.94,22.98,22.82,22.8894,1725,0
SCDV.US,D,20250108,000000,22.862,23.0133,22.862,23.0133,223,0
SCDV.US,D,20250110,000000,22.74,22.78,22.6223,22.7217,55022,0
