<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCY.US,D,20241212,000000,24.45,24.4607,24.3449,24.3449,282,0
SCY.US,D,20241213,000000,24.2836,24.2836,24.1607,24.1607,150,0
SCY.US,D,20241217,000000,24.08,24.08,23.952,23.952,3007,0
SCY.US,D,20241218,000000,24.09,24.09,22.3323,22.3323,420,0
SCY.US,D,20241219,000000,22.45,22.45,22.0408,22.0663,609,0
SCY.US,D,20241220,000000,22.56,22.56,22.4362,22.4362,205,0
SCY.US,D,20241227,000000,22.52,22.52,22.4558,22.5034,627,0
SCY.US,D,20241230,000000,22.43,22.43,22.3246,22.3246,187,0
SCY.US,D,20241231,000000,22.56,22.56,22.2529,22.2529,202,0
SCY.US,D,20250102,000000,22.33,22.33,22.2834,22.2834,198,0
SCY.US,D,20250103,000000,22.44,22.6499,22.4399,22.615,95511,0
SCY.US,D,20250106,000000,22.92,22.92,22.6186,22.6186,682,0
SCY.US,D,20250107,000000,22.41,22.57,22.4025,22.4025,1132,0
SCY.US,D,20250108,000000,22.35,22.3706,22.35,22.3706,418,0
SCY.US,D,20250110,000000,21.72,21.72,21.72,21.72,303,0
