<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEPM.US,D,20240924,000000,29.573,29.61,29.55,29.5993,91418,0
SEPM.US,D,20240925,000000,29.6,29.62,29.58,29.6,46251,0
SEPM.US,D,20240926,000000,29.6,29.62,29.59,29.615,13444,0
SEPM.US,D,20240927,000000,29.62,29.64,29.6048,29.606,10959,0
SEPM.US,D,20240930,000000,29.6,29.62,29.545,29.5839,14365,0
SEPM.US,D,20241001,000000,29.5446,29.62,29.535,29.5825,49641,0
SEPM.US,D,20241002,000000,29.72,29.72,29.57,29.576,27152,0
SEPM.US,D,20241003,000000,29.58,29.5999,29.5501,29.59,25319,0
SEPM.US,D,20241004,000000,29.6,29.6,29.48,29.5339,40293,0
SEPM.US,D,20241007,000000,29.59,29.59,29.48,29.56,181725,0
SEPM.US,D,20241008,000000,29.54,29.57,29.4716,29.5307,29724,0
SEPM.US,D,20241009,000000,29.65,29.65,29.52,29.589,37765,0
SEPM.US,D,20241010,000000,29.5799,29.59,29.56,29.59,32998,0
SEPM.US,D,20241011,000000,29.71,29.71,29.5598,29.645,263493,0
SEPM.US,D,20241014,000000,29.6402,29.7,29.6402,29.69,21220,0
SEPM.US,D,20241015,000000,29.6513,29.66,29.645,29.645,8403,0
SEPM.US,D,20241016,000000,29.64,29.68,29.64,29.6698,21219,0
SEPM.US,D,20241017,000000,29.68,29.68,29.64,29.6499,11919,0
SEPM.US,D,20241018,000000,29.6799,29.6999,29.6446,29.6976,6338,0
SEPM.US,D,20241021,000000,29.84,29.84,29.6402,29.66,11862,0
SEPM.US,D,20241022,000000,29.65,29.69,29.65,29.69,24501,0
SEPM.US,D,20241023,000000,29.64,29.64,29.5981,29.5981,5809,0
SEPM.US,D,20241024,000000,29.75,29.75,29.61,29.65,5921,0
SEPM.US,D,20241025,000000,29.61,29.7,29.61,29.6232,1681,0
SEPM.US,D,20241028,000000,29.68,29.68,29.6421,29.6421,859,0
SEPM.US,D,20241029,000000,29.63,29.68,29.62,29.6546,13380,0
SEPM.US,D,20241030,000000,29.79,29.79,29.6197,29.6197,1277,0
SEPM.US,D,20241031,000000,29.52,29.58,29.52,29.55,22870,0
SEPM.US,D,20241101,000000,29.5726,29.62,29.56,29.58,3713,0
SEPM.US,D,20241104,000000,29.52,29.63,29.52,29.58,16848,0
SEPM.US,D,20241105,000000,29.59,29.67,29.57,29.67,12068,0
SEPM.US,D,20241106,000000,29.75,29.76,29.6701,29.76,13188,0
SEPM.US,D,20241107,000000,29.73,29.789,29.7201,29.74,183364,0
SEPM.US,D,20241108,000000,29.75,29.84,29.74,29.7848,26520,0
SEPM.US,D,20241111,000000,29.8028,29.8099,29.7747,29.7747,336,0
SEPM.US,D,20241112,000000,29.8199,29.8199,29.765,29.765,312,0
SEPM.US,D,20241113,000000,29.8,29.8199,29.76,29.7787,8762,0
SEPM.US,D,20241114,000000,29.785,29.785,29.73,29.73,8138,0
SEPM.US,D,20241115,000000,29.7,29.7399,29.66,29.665,4808,0
SEPM.US,D,20241118,000000,29.71,29.74,29.68,29.68,11686,0
SEPM.US,D,20241119,000000,29.7099,29.75,29.7,29.7241,2535,0
SEPM.US,D,20241120,000000,29.75,29.76,29.71,29.76,3748,0
SEPM.US,D,20241121,000000,29.74,29.7772,29.7174,29.75,910,0
SEPM.US,D,20241122,000000,29.8,29.82,29.8,29.82,3970,0
SEPM.US,D,20241125,000000,29.81,29.8346,29.81,29.8248,969,0
SEPM.US,D,20241126,000000,29.85,29.95,29.8363,29.8363,1248,0
SEPM.US,D,20241127,000000,29.84,29.88,29.83,29.86,6278,0
SEPM.US,D,20241129,000000,29.87,29.91,29.87,29.875,4266,0
SEPM.US,D,20241202,000000,29.92,29.92,29.8846,29.8846,135,0
SEPM.US,D,20241203,000000,29.89,29.9291,29.89,29.8908,740,0
