<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNOY.US,D,20240612,000000,20.51,20.64,20.44,20.4479,8759,0
SNOY.US,D,20240613,000000,20.47,20.47,19.99,19.99,21650,0
SNOY.US,D,20240614,000000,20.05,20.41,19.87,20.2167,12234,0
SNOY.US,D,20240617,000000,20.1,20.69,20.09,20.5952,6648,0
SNOY.US,D,20240618,000000,20.58,20.58,20.18,20.3197,10795,0
SNOY.US,D,20240620,000000,20.17,20.3,20.1,20.2189,6934,0
SNOY.US,D,20240621,000000,20.01,20.3685,20.01,20.3685,10512,0
SNOY.US,D,20240624,000000,20.41,20.41,20.0752,20.0752,5189,0
SNOY.US,D,20240625,000000,20.15,20.19,19.9,19.9979,3648,0
SNOY.US,D,20240626,000000,19.98,20.77,19.98,20.666,8305,0
SNOY.US,D,20240627,000000,20.77,21.04,20.71,21.0041,9413,0
SNOY.US,D,20240628,000000,21.034,21.1299,20.96,21.0771,8996,0
SNOY.US,D,20240701,000000,21.388,21.5912,21.1,21.5912,14041,0
SNOY.US,D,20240702,000000,21.64,21.64,21.4881,21.5999,8344,0
SNOY.US,D,20240703,000000,23.76,23.76,21.6182,21.6939,35155,0
SNOY.US,D,20240705,000000,21.19,21.19,20.659,20.7625,27999,0
SNOY.US,D,20240708,000000,21.84,21.84,20.54,20.66,28218,0
SNOY.US,D,20240709,000000,21.27,21.27,19.955,20.1443,33864,0
SNOY.US,D,20240710,000000,20.1,20.1599,19.5198,20.1033,18210,0
SNOY.US,D,20240711,000000,20.58,20.58,20.0949,20.1986,9076,0
SNOY.US,D,20240712,000000,19.81,20.04,19.55,19.93,23578,0
SNOY.US,D,20240715,000000,19.87,20.06,19.68,19.73,13520,0
SNOY.US,D,20240716,000000,19.75,20.1,19.75,20.1,6815,0
SNOY.US,D,20240717,000000,19.75,20.27,19.73,19.96,20459,0
SNOY.US,D,20240718,000000,19.93,20.075,19.2042,19.2042,15959,0
SNOY.US,D,20240719,000000,19.43,19.43,19.2,19.31,708768,0
SNOY.US,D,20240722,000000,19.364,19.62,19.29,19.4516,11467,0
SNOY.US,D,20240723,000000,19.505,19.7899,19.49,19.6505,3832,0
SNOY.US,D,20240724,000000,19.37,19.5,18.77,18.77,16778,0
SNOY.US,D,20240725,000000,18.98,19.7899,18.75,19.3028,12337,0
SNOY.US,D,20240726,000000,19.51,19.56,19.1567,19.2135,7169,0
SNOY.US,D,20240729,000000,19.57,19.57,19.2815,19.3767,6920,0
SNOY.US,D,20240730,000000,19.29,19.555,19.11,19.2649,8515,0
SNOY.US,D,20240731,000000,19.43,19.75,19.43,19.5646,4967,0
SNOY.US,D,20240801,000000,19.56,19.56,18.4199,18.703,18088,0
SNOY.US,D,20240802,000000,18.42,18.42,17.6999,18.0776,9687,0
SNOY.US,D,20240805,000000,16.79,17.53,16.73,17.16,11959,0
SNOY.US,D,20240806,000000,17.43,17.827,17.32,17.5215,21188,0
SNOY.US,D,20240807,000000,17.276,17.3799,16.8156,16.8156,5588,0
SNOY.US,D,20240808,000000,17.195,17.77,17.195,17.7148,16208,0
SNOY.US,D,20240809,000000,17.8201,18.1447,17.7627,18.1447,5199,0
SNOY.US,D,20240812,000000,18.17,18.23,17.9103,17.97,31640,0
SNOY.US,D,20240813,000000,18.1444,18.43,18.1444,18.3924,6339,0
SNOY.US,D,20240814,000000,18.39,18.4765,18.38,18.4765,2275,0
SNOY.US,D,20240815,000000,18.37,18.565,18.37,18.5219,8592,0
SNOY.US,D,20240816,000000,18.4801,18.7,18.4801,18.685,5057,0
SNOY.US,D,20240819,000000,18.75,19.235,18.75,19.11,68672,0
SNOY.US,D,20240820,000000,19.338,19.338,19.07,19.1762,12957,0
SNOY.US,D,20240821,000000,19.19,19.4,19.17,19.3948,12460,0
SNOY.US,D,20240822,000000,18.51,18.535,17.36,17.36,71109,0
SNOY.US,D,20240823,000000,17.4142,17.6211,17.25,17.6211,15867,0
SNOY.US,D,20240826,000000,17.55,18.18,17.55,17.9305,9865,0
SNOY.US,D,20240827,000000,18.03,18.0537,17.598,17.598,3139,0
SNOY.US,D,20240828,000000,17.6,17.6,16.9,17.0247,7510,0
SNOY.US,D,20240829,000000,17.28,17.46,17.28,17.2811,4552,0
SNOY.US,D,20240830,000000,17.51,17.51,17.18,17.3529,5612,0
SNOY.US,D,20240903,000000,17.18,17.35,16.85,16.9227,6479,0
SNOY.US,D,20240904,000000,17.03,17.27,17.03,17.07,6853,0
SNOY.US,D,20240905,000000,17.24,17.4095,17.16,17.1939,19816,0
SNOY.US,D,20240906,000000,16.32,16.38,15.6907,15.8714,59497,0
SNOY.US,D,20240909,000000,16.11,16.27,16.02,16.15,11464,0
SNOY.US,D,20240910,000000,16.13,16.2234,15.9601,16.2234,11636,0
SNOY.US,D,20240911,000000,16.22,16.52,16.1299,16.4789,8414,0
SNOY.US,D,20240912,000000,16.505,16.75,16.45,16.6485,4965,0
SNOY.US,D,20240913,000000,16.7,16.88,16.7,16.77,8423,0
SNOY.US,D,20240916,000000,16.82,16.82,16.62,16.6987,8713,0
SNOY.US,D,20240917,000000,16.8299,16.83,16.58,16.5832,7436,0
SNOY.US,D,20240918,000000,16.5,16.672368,16.5,16.5134,4672,0
SNOY.US,D,20240919,000000,16.69,17.0447,16.66,16.9519,6735,0
SNOY.US,D,20240920,000000,17.01,17.01,16.3599,16.49,21129,0
SNOY.US,D,20240923,000000,16.67,16.89,16.51,16.83,40388,0
SNOY.US,D,20240924,000000,16.83,16.83,16.5058,16.7422,7519,0
SNOY.US,D,20240925,000000,16.85,17.12,16.805,16.81,10904,0
SNOY.US,D,20240926,000000,16.82,16.8655,16.55,16.84,5685,0
SNOY.US,D,20240927,000000,16.93,17.01,16.915,16.93,37614,0
SNOY.US,D,20240930,000000,17.0275,17.15,16.94,17.08,11636,0
SNOY.US,D,20241001,000000,17.08,17.08,16.43,16.4912,12103,0
SNOY.US,D,20241002,000000,16.41,16.59,16.356,16.3749,16750,0
SNOY.US,D,20241003,000000,15.97,16.07,15.85,16.07,10790,0
SNOY.US,D,20241004,000000,16.1283,16.5,16.08,16.4564,23879,0
SNOY.US,D,20241007,000000,16.35,16.54,16.35,16.36,19961,0
SNOY.US,D,20241008,000000,16.41,16.53,16.41,16.4297,6099,0
SNOY.US,D,20241009,000000,16.49,16.8933,16.49,16.8933,10020,0
SNOY.US,D,20241010,000000,17.02,17.42,17.02,17.42,7611,0
SNOY.US,D,20241011,000000,17.39,17.75,17.39,17.5,6132,0
SNOY.US,D,20241014,000000,17.59,17.59,17.25,17.26,6979,0
SNOY.US,D,20241015,000000,17.11,17.3,17.1,17.21,5435,0
SNOY.US,D,20241016,000000,17.308,17.31,16.7546,16.7546,5624,0
SNOY.US,D,20241017,000000,16.69,16.7652,16.5859,16.7652,1724,0
SNOY.US,D,20241018,000000,16.8,16.865,16.75,16.8545,6838,0
SNOY.US,D,20241021,000000,16.65,17.0593,16.65,16.82,34294,0
SNOY.US,D,20241022,000000,16.65,16.65,16.19,16.3941,10444,0
SNOY.US,D,20241023,000000,16.3,16.3986,16.18,16.1926,6159,0
SNOY.US,D,20241024,000000,16.44,16.4891,16.24,16.3841,3086,0
SNOY.US,D,20241025,000000,16.5,16.6689,16.5,16.5684,7060,0
SNOY.US,D,20241028,000000,16.89,16.9,16.68,16.76,19155,0
SNOY.US,D,20241029,000000,17,17,16.71,16.85,25266,0
SNOY.US,D,20241030,000000,16.96,17.11,16.85,16.94,29291,0
SNOY.US,D,20241031,000000,16.28,16.28,15.86,15.9577,42388,0
SNOY.US,D,20241101,000000,16.2,16.3177,15.81,16.15,14450,0
SNOY.US,D,20241104,000000,16.04,16.1192,15.85,15.925,12853,0
SNOY.US,D,20241105,000000,15.86,16.3,15.86,16.17,10452,0
SNOY.US,D,20241106,000000,16.7,16.7239,16.48,16.7239,12342,0
SNOY.US,D,20241107,000000,16.86,17.03,16.85,16.8989,16652,0
SNOY.US,D,20241108,000000,16.65,16.7006,16.4902,16.6017,7349,0
SNOY.US,D,20241111,000000,16.8,16.9,16.77,16.89,10951,0
SNOY.US,D,20241112,000000,17,17.1747,16.9201,17.1562,13770,0
SNOY.US,D,20241113,000000,17.38,18.065,17.38,17.7,51814,0
SNOY.US,D,20241114,000000,17.73,17.7656,17.46,17.5222,6424,0
SNOY.US,D,20241115,000000,17.25,17.25,16.9,17.1893,9229,0
SNOY.US,D,20241118,000000,17.22,17.36,17.16,17.25,83787,0
SNOY.US,D,20241119,000000,17.42,17.6338,17.2837,17.6338,10141,0
SNOY.US,D,20241120,000000,17.93,17.93,17.45,17.56,20144,0
SNOY.US,D,20241121,000000,20.9099,22.42,20.9099,22,63415,0
SNOY.US,D,20241122,000000,22.07,22.495,21.38,21.5553,45433,0
SNOY.US,D,20241125,000000,22.29,22.61,21.8025,21.91,80510,0
SNOY.US,D,20241126,000000,22.4,22.46,21.77,21.8,70151,0
SNOY.US,D,20241127,000000,21.98,22.17,21.4,22.12,424702,0
SNOY.US,D,20241129,000000,20.351,20.7599,20.27,20.5,65594,0
SNOY.US,D,20241202,000000,20.5727,20.74,20.06,20.18,273751,0
SNOY.US,D,20241203,000000,20.2,20.5775,20.05,20.54,69996,0
SNOY.US,D,20241204,000000,21.01,21.42,21,21.42,84179,0
SNOY.US,D,20241205,000000,21.3988,21.4372,21.0005,21.1546,36230,0
SNOY.US,D,20241206,000000,21.49,21.49,21.0499,21.22,37917,0
SNOY.US,D,20241209,000000,21.23,21.32,20.7184,20.95,40494,0
SNOY.US,D,20241210,000000,20.905,20.98,19.7,19.89,45913,0
SNOY.US,D,20241211,000000,20.3,20.4163,19.93,20.02,30730,0
SNOY.US,D,20241212,000000,19.89,20.09,19.7505,19.86,27105,0
SNOY.US,D,20241213,000000,19.87,19.91,19.43,19.56,103558,0
SNOY.US,D,20241216,000000,19.7,20.2,19.6254,20.2,61653,0
SNOY.US,D,20241217,000000,19.9742,20.1,19.814,20,31089,0
SNOY.US,D,20241218,000000,20.02,20.19,18.91,19.08,50413,0
SNOY.US,D,20241219,000000,19.33,20.14,18.9,19.31,58910,0
SNOY.US,D,20241220,000000,19.06,19.79,19.06,19.56,74991,0
SNOY.US,D,20241223,000000,19.54,19.57,18.89,18.89,463692,0
SNOY.US,D,20241224,000000,19.12,19.25,19.04,19.24,244878,0
SNOY.US,D,20241226,000000,19.1463,19.3381,19.0401,19.17,175045,0
SNOY.US,D,20241227,000000,18.46,18.5195,17.98,18.13,70896,0
SNOY.US,D,20241230,000000,17.8158,17.8942,17.57,17.81,82843,0
SNOY.US,D,20241231,000000,17.865,17.91,17.64,17.79,57707,0
SNOY.US,D,20250102,000000,17.8544,18.2152,17.8,18.05,39248,0
SNOY.US,D,20250103,000000,18.24,18.3999,18.095,18.34,29537,0
SNOY.US,D,20250106,000000,18.4735,18.6762,18.3801,18.4399,41609,0
SNOY.US,D,20250107,000000,18.685,18.72,17.8,17.99,23059,0
SNOY.US,D,20250108,000000,18.22,18.3134,17.78,18.2,17670,0
