<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SOXY.US,D,20241205,000000,50.7,50.82,50,50.0241,7953,0
SOXY.US,D,20241206,000000,50.02,50.35,49.99,50.1599,11943,0
SOXY.US,D,20241209,000000,50.27,50.33,49.73,49.8015,7861,0
SOXY.US,D,20241210,000000,49.7,49.7,48.76,48.8137,4731,0
SOXY.US,D,20241211,000000,49.6,49.93,49.48,49.8156,4435,0
SOXY.US,D,20241212,000000,49.36,49.6,49.36,49.5123,1944,0
SOXY.US,D,20241213,000000,50.72,50.93,50.0675,50.502,4932,0
SOXY.US,D,20241216,000000,50.63,51.22,50.5,51.0616,4850,0
SOXY.US,D,20241217,000000,50.48,51.15,50.061,50.5077,4567,0
SOXY.US,D,20241218,000000,50.7664,51.19,49.19,49.3535,7173,0
SOXY.US,D,20241219,000000,49.03,49.075,48.63,48.6319,2625,0
SOXY.US,D,20241220,000000,48.41,49.66,48.41,49.2423,2400,0
SOXY.US,D,20241223,000000,50.05,50.5604,49.8,50.5604,3463,0
SOXY.US,D,20241224,000000,50.8899,50.99,50.8899,50.9507,1508,0
SOXY.US,D,20241226,000000,50.891,51.23,50.82,51.0506,8968,0
SOXY.US,D,20241227,000000,50.66,50.66,50.06,50.557,3464,0
SOXY.US,D,20241230,000000,49.9,50.41,49.61,50.0394,3153,0
SOXY.US,D,20241231,000000,50.083,50.19,49.5,49.5093,3348,0
SOXY.US,D,20250102,000000,49.83,50.34,49.62,50.04,2488,0
SOXY.US,D,20250103,000000,50.6365,51.43,50.6365,51.3029,5801,0
SOXY.US,D,20250106,000000,52.435,53,52.435,52.5821,10364,0
SOXY.US,D,20250107,000000,52.68,52.68,51.56,51.56,7556,0
SOXY.US,D,20250108,000000,50.88,51.05,50.59,50.9668,4380,0
SOXY.US,D,20250110,000000,50.25,50.25,49.71,50.04,5998,0
