<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TLTI.US,D,20241212,000000,49.13,49.13,48.9544,48.9544,201,0
TLTI.US,D,20241213,000000,48.79,48.79,48.45,48.5409,1228,0
TLTI.US,D,20241218,000000,48.62,48.636,48.132,48.132,404,0
TLTI.US,D,20241219,000000,47.51,47.6,47.3216,47.5045,408,0
TLTI.US,D,20241220,000000,47.87,47.9,47.7004,47.7004,817,0
TLTI.US,D,20241230,000000,47.14,47.14,47.1372,47.1372,162,0
TLTI.US,D,20241231,000000,47.06,47.06,47.005,47.005,504,0
TLTI.US,D,20250102,000000,47.0493,47.06,46.9548,46.9548,374,0
TLTI.US,D,20250103,000000,46.9176,46.9176,46.8472,46.8472,226,0
TLTI.US,D,20250106,000000,46.66,46.6702,46.66,46.6702,115,0
TLTI.US,D,20250107,000000,46.31,46.31,46.1852,46.1852,279,0
TLTI.US,D,20250110,000000,45.9499,46.0401,45.9499,46.0401,783,0
